Mtn Range,Plot,EASTING,NORTHING,PJ_cover,Total_cover,Ecog_cover,Pinyon_cover,Juniper_cover,BA_plot,SDI_plot,Plot_pj_density,PJ_dens_per_ha,C_trans_aspect,C_slope,C_elevation,slope_pos,solar_rad,F_trans_aspect,F_slope,F_elevation,Pct_clay,Soil_depth,Soil_ph,dem_masked,Slope_Angl,cum_cwd
Toiyabe,TOI1596,507331.29,4389702.17,30.39,30.39,24,30.39,0,188.2,494.63,36,360,0.98,35,2273,97,316293,1.29,36,2251,15,38,6,2272.97,19.51,252.4266052
Desatoya,DES1014360,451678.84,4373638.87,36.97,36.97,33,28.5,12.11,129.31,371.83,40,400,0.44,24,2082,4,323883,1.26,21,2057,23,48,7,2070.64,8.09,252.1691895
Diamond,DIA624240,597814.4,4392444.34,17.01,20.52,31,5.18,11.83,229.19,602.80,72,720,0.19,50,2162,57,295423,0.13,45,2168,19,56,8,2191.78,21.08,251.3738556
Toiyabe,TOI123,524741.18,4437350.93,34.45,34.45,28,25.7,9.8,295.67,851.76,90,900,1.05,12,1947,12,320916,0.06,11,1930,16,28,6,1949.89,7.42,251.2619476
Toiyabe,TOI643,513781.08,4412398.94,12.54,12.54,10,0,12.54,46.19,132.95,14,140,1.87,61,2153,56,291685,1.96,59,2147,23,69,6,2168.32,21.73,249.7598267
Whistler,WHIS20,576787.05,4390309.08,25.91,25.91,28,16.95,9.17,170.64,497.16,55,550,0.26,37,2138,44,325898,1.57,44,2123,30,76,6,2146.1,5.97,247.9212341
Roberts,ROB926240,557359.99,4402447.75,26.47,26.47,20,10.71,15.76,81.71,239.23,27,270,0,23,2169,62,321903,1.57,12,2139,21,96,6,2160.89,7.32,247.6536865
New Pass,NP138,460383.2,4390488.35,16.53,16.53,14,16.53,0,29.34,86.44,10,100,1.05,22,2279,42,323100,0.55,13,2243,18,201,7,2260.64,12.1,246.5391998
New Pass,NP294360,463034.46,4387706.28,34.87,34.87,30,28.08,6.79,134.54,407.84,53,530,1.1,31,2130,56,317706,1.26,45,2108,24,201,7,2127.15,12.89,246.0400696
Diamond,DIA624,597816.54,4392476.39,29.34,29.55,39,8.68,20.66,473.43,1097.65,30,300,0.23,53,2166,57,293086,0.29,57,2167,19,56,8,2182.37,16.4,243.98526
Diamond,DIA658,594638.92,4386622.66,26.4,26.4,37,5.11,21.29,276.38,815.52,47,470,0.32,22,1917,22,318286,0,14,1906,36,107,7,2189.08,21.08,238.7362976
Sulphur Springs,SS32,579020.81,4450421.42,18.8,18.8,20,9.77,9.8,150.8,394.02,28,280,0.29,44,1924,24,304292,0.18,32,1885,16,23,6,1911.19,20.57,238.3027344
Simpson Park,SPR1583,519127,4367183,27.03,27.17,32,14.92,12.11,382.25,931.99,50,500,2,50,2161,48,315327,1.97,41,2109,32,38,6,2176.2,13.7,237.2014771
Sulphur Springs,SS14,580033.32,4450768.37,35.5,35.5,34,23.81,12.18,239.8,718.40,87,870,1.93,19,2003,44,314643,2,57,1974,15,18,6,2013.42,15.25,236.9475555
Toiyabe,TOI1596360,507332.92,4389765.78,12.96,12.96,10,12.96,0,85.65,234.15,20,200,1.21,23,2288,100,321089,1.12,30,2277,10,44,7,2295.41,11.72,236.9089203
Diamond,DIA372,605079.18,4413848.65,10.22,25.7,32,10.22,0,162.64,402.69,30,300,1.03,37,2187,33,312906,0.58,30,2158,12,48,7,1994.91,2.07,236.5758057
Ravenswood,RAV413240,477782.29,4397260.53,49.16,49.16,36,36.36,13.94,280.05,731.72,52,520,0.41,21,2202,92,318262,0.91,21,2193,24,201,7,2215.43,8.49,233.9677734
Desatoya,DES1014120,451710.35,4373518.67,38.45,38.45,32,24.65,14.36,222.08,620.70,58,580,1.96,23,2079,6,316493,1.97,15,2054,23,43,6,2082.89,9.49,233.4034119
Roberts,ROB926,557414.23,4402460.15,17.78,17.79,22,11.13,6.65,54.31,162.45,20,200,0.22,20,2179,70,324510,0.02,31,2148,20,89,6,2166.01,8.56,232.7375183
Sulphur Springs,SS32360,579020.47,4450489.26,32.49,32.49,26,12.25,20.73,342.96,959.46,90,900,0.64,48,1918,26,294526,0.27,36,1885,16,23,6,1906.67,22.47,232.5195313
New Pass,NP246120,462679.38,4385592.03,45.87,45.87,48,39.43,7.21,202.48,582.11,61,610,0.9,4,2143,24,326842,0,11,2129,40,76,6,2147.42,6.17,232.2763519
Roberts,ROB926120,557460.31,4402420.96,25.14,25.14,27,17.3,7.84,175.41,424.13,22,220,0.81,23,2166,60,323761,0.74,26,2151,20,89,6,2163.81,6.41,230.5612488
New Pass,NP294240,462992.07,4387604.87,24.86,24.86,25,16.74,8.12,175.52,506.69,54,540,1,32,2117,20,319610,0.91,47,2084,28,53,6,2105.88,4.43,230.1942291
Sulphur Springs,SS604,574040.24,4413517.42,25.82,25.84,14,16.16,9.66,71.31,185.65,13,130,1.85,65,2212,70,289089,1.82,81,2204,27,48,7,2222.4,29.59,229.1478577
Sulphur Springs,SS604120,574089.34,4413455.04,11.9,11.9,10,2.52,9.38,83.93,211.57,13,130,1.62,59,2184,64,296940,1.97,58,2178,27,48,7,2207.33,29.59,227.7960663
Roberts,ROB926360,557439.56,4402513.92,26.33,26.33,21,19.96,17.14,100.94,287.49,29,290,1.47,19,2187,75,319633,0.43,19,2165,20,89,6,2181.59,8.56,226.5621948
Simpson Park,SPR1518,516249.07,4369935.9,10.99,10.99,15,6.23,4.76,47.55,154.94,27,270,0.63,20,2053,57,317137,0.06,32,2030,30,48,6,2048.57,10.57,225.6321716
Whistler,WHIS20360,576790.51,4390362.78,23.81,23.81,25,14.43,9.38,112.55,347.97,49,490,0.07,48,2113,52,325038,1.5,41,2102,30,76,6,2123.82,14.85,225.0666199
Ravenswood,RAV413,477818.24,4397312.41,31.58,31.58,34,17.79,15.76,178.55,501.89,48,480,0.91,13,2206,92,319608,1.12,21,2190,24,201,7,2216.36,0.31,224.2399445
New Pass,NP294,463033.64,4387645.04,44.33,44.33,25,20.38,25.28,152.04,441.15,48,480,1.03,28,2118,38,318733,1.26,42,2085,24,198,7,2106.18,8.01,223.5608368
Roberts,ROB938360,558377.06,4404547.96,37.32,37.32,31,24.3,14.08,268.43,851.40,133,1330,0.46,24,2193,91,321824,0.5,27,2177,16,201,8,2186.81,9.46,221.6276093
New Pass,NP246360,462640.93,4385736.26,40.4,40.41,34,30.88,9.52,231.54,666.12,70,700,0.18,9,2160,56,326709,0.09,17,2133,40,76,6,2159.08,4.73,221.2937775
Desatoya,DES105240,443756.81,4371480.59,18.21,18.21,14,12.96,5.25,67.13,167.93,10,100,0.29,20,1997,73,303322,1.64,78,1950,21,38,6,1980.79,8.95,218.2282257
New Pass,NP246,462638.67,4385651.45,54.83,54.83,35,53.22,54.83,163.44,480.25,55,550,1.09,15,2150,41,326643,0,5,2124,40,76,6,2149.15,4.8,217.4933014
Roberts,ROB474240,568891.09,4410099.41,38.8,38.8,26,20.8,18,83.42,265.42,41,410,1.87,15,2118,55,318527,1.93,20,2103,34,201,7,2116,17.65,217.4162598
Simpson Park,SPR1572,517305,4370082,12.32,12.33,18,5.67,6.65,98.5,256.55,18,180,1.99,24,2043,88,296467,2,47,2032,32,38,6,2050.95,7.82,216.9336548
Ravenswood,RAV495240,476842.12,4393199.78,11.83,15.9,12,11.83,0,71.51,196.19,13,130,1.05,16,2254,70,310735,1.78,25,2228,29,36,6,2257.43,10.5,216.6146698
Sulphur Springs,SS604360,574046.04,4413567.76,24.44,24.44,20,14.22,11.13,118.84,291.40,16,160,1.81,60,2201,68,295359,1.97,53,2199,27,48,7,2219.34,28.59,215.8183441
Roberts,ROB938,558363.6,4404496.17,46.15,46.15,38,32.63,18.98,266.27,834.26,124,1240,0.34,20,2183,82,323874,1.77,24,2162,16,201,8,2182.3,8.49,215.4836884
Roberts,ROB474,568937.9,4410144.31,17.51,17.51,15,12.75,5.04,83.1,255.25,34,340,1.95,27,2109,47,312381,1.94,28,2092,25,201,7,2115.6,15.37,215.4720459
New Pass,NP246240,462601.53,4385592.43,47.69,47.69,33,45.38,4.34,157.45,437.66,40,400,1.82,27,2160,37,315983,1.57,5,2120,40,76,6,2147.7,6.17,214.430069
Roberts,ROB938120,558419.35,4404414.65,25.07,25.14,28,15.48,9.59,185.89,564.65,60,600,1.64,23,2167,67,323196,1.98,18,2157,16,201,8,2173.14,8.37,214.1188812
Ravenswood,RAV413360,477817.31,4397381.62,50,50,43,46.43,6.72,106.6,528.24,84,840,1.6,13,2198,85,319212,1.71,29,2469,24,201,7,2197.48,6.34,212.8845215
Desatoya,DES105,443808.02,4371522.4,22.48,22.48,70,22.06,0.42,119.02,362.45,0,0,1.41,36,1967,25,303157,1.34,29,1939,21,38,6,1970.2,14.38,211.8061676
Desatoya,DES105120,443839.87,4371483.54,13.52,13.52,16,13.52,0,32.22,93.17,10,100,1.5,21,1971,0,307772,0.36,46,1963,21,38,6,1990.43,12.49,210.5413971
Whistler,WHIS25,574125.08,4389981.76,32.42,32.42,28,23.18,9.73,229.95,627.01,53,530,1.97,25,2109,87,316243,1.87,27,2074,19,48,7,2115.92,16.73,210.3779449
Desatoya,DES1014,451664.66,4373558.33,20.03,20.03,18,17.58,2.45,195.86,573.93,65,650,1.98,23,2079,8,317577,1.22,15,2054,23,43,6,2076.45,12.09,209.6025238
Toiyabe,TOI533120,513810.52,4419090.61,38.45,38.45,27,19.61,18.84,139.04,412.31,49,490,1.12,42,2141,100,290053,1,47,2115,40,76,6,2144.41,5.92,207.4941406
Ravenswood,RAV386,476164.24,4398805.47,22.62,22.62,25,16.74,5.88,146.3,456.87,67,670,0.66,26,1999,53,314639,1.26,18,1982,29,36,6,2009.75,10.05,207.0616455
New Pass,NP294120,463065.88,4387609.99,34.17,34.17,30,12.68,23.39,125.06,350.25,33,330,1.05,16,2107,16,325655,1.94,7,2063,24,201,7,2090.9,3.04,205.6250458
Roberts,ROB938240,558306.11,4404465.9,50.35,50.35,31,44.82,6.65,332.16,1005.58,129,1290,1.71,28,2186,70,319526,1.95,24,2181,16,201,8,2197.15,11.46,204.7761993
Desatoya,DES105360,443803.45,4371586,28.01,28.01,33,28.01,0,69.95,233.60,45,450,1.98,24,1967,27,315893,1.98,16,1934,21,38,6,1955.91,13.73,203.8983459
Ravenswood,RAV495,476902.22,4393240.89,31.44,35.15,20,31.44,0,121.57,381.40,46,460,1.31,19,2249,68,309333,0.34,31,2230,29,37,6,2253.78,15.55,203.1853943
Whistler,WHIS25120,574151.53,4389949.32,25.49,25.49,34,16.04,9.94,260.96,754.67,81,810,0.88,31,2147,93,312445,1.26,35,2113,19,48,7,2143.34,12.96,202.9870758
Ravenswood,RAV495360,476904.35,4393301.85,40.61,40.62,34,32.42,8.19,240.83,627.24,42,420,0.5,19,2239,61,309444,0.29,40,2230,29,36,6,2250.56,16.07,201.137207
Toiyabe,TOI533240,513716.28,4419099.72,43.49,43.49,35,13.31,31.23,180.26,515.74,53,530,0.76,31,2118,89,302953,0.43,27,2106,40,76,6,2106.04,14.96,200.4925079
Sulphur Springs,SS279,579184.06,4434875.42,35.22,35.22,29,29.34,7.84,252.95,658.19,46,460,0.02,11,2142,7,319705,2,18,2119,19,183,8,2145.63,8.89,200.2402954
Simpson Park,SPR1575,520186.04,4370153.73,33.77,33.77,24,16.67,18.29,228.16,632.13,57,570,1.99,41,2189,10,316460,1.96,44,2150,24,43,6,2204.58,13.29,197.440567
Roberts,ROB474360,568940.69,4410206.11,25.21,25.21,16,21.99,3.22,141.75,417.03,48,480,1.99,21,2097,38,315887,1.87,15,2084,16,201,6,2108.3,14.45,197.1687927
Desatoya,DES1014240,451608.27,4373526.78,24.79,24.79,18,20.52,4.41,113.79,362.93,58,580,1.99,24,2093,19,314378,1.98,24,2066,23,43,6,2096.03,15.58,195.2537842
Toiyabe,TOI533,513776.42,4419136.98,39.36,39.36,34,20.1,19.75,152.21,434.03,44,440,1.29,35,2122,90,295481,1.16,25,2099,40,76,6,2114.46,17.3,194.9163208
Ravenswood,RAV495120,476942.51,4393200.89,20.1,20.1,36,17.93,2.17,145.83,398.55,33,330,0.95,29,2261,76,305449,0.86,44,2249,24,210,7,2270.03,15.55,191.2317963
Toiyabe,TOI1577360,495469.86,4389833.62,32.98,32.98,30,16.74,17.37,263.24,787.49,93,930,0.97,31,2128,47,304054,0.2,31,2107,23,69,6,2126.13,20.26,184.8626251
Roberts,ROB324,564353.81,4414311.38,27.03,27.03,20,27.03,0,80.49,247.37,34,340,1.54,28,2273,46,320156,2,37,2271,32,89,7,2283.56,10.19,183.5856018
Toiyabe,TOI1577240,495437.8,4389737,15.9,15.9,16,13.45,2.45,87.32,279.12,45,450,0.78,38,2141,51,299508,1.09,41,2112,23,69,6,2150.52,20.91,179.4368439
Toiyabe,TOI1577,495468.71,4389769.59,36.55,36.55,26,33.4,3.15,114.99,348.10,45,450,0.95,34,2143,52,301621,0.55,44,2112,23,69,6,2136.81,20.26,178.0456238
Toiyabe,TOI1577120,495486.71,4389704.17,18.49,18.49,11,18.49,0,72.14,231.59,38,380,0.91,36,2162,62,299267,1.34,44,2137,23,69,6,2164.63,22.23,177.5444946
Roberts,ROB474120,568983.03,4410097.16,36.27,36.27,22,31.58,4.69,106.81,330.91,47,470,0.34,36,2122,55,296467,1.34,28,2103,34,201,7,2127.84,18.78,174.1641235
Toiyabe,TOI533360,513775.76,4419195.54,18,18,19,1.12,16.88,101.01,301.82,37,370,1.52,31,2103,74,300535,1.52,28,2079,40,76,6,2103.18,17.51,168.4670868
Toiyabe,TOI944,515769.24,4406067.83,39.71,39.71,34,38.03,1.68,114.87,382.68,73,730,1.62,53,2255,56,268698,1.54,54,2246,23,69,6,2273,26.24,158.0284729
Roberts,ROB649,560478.21,4407168.19,8.61,22.76,31,8.61,0,115.35,319.97,10,100,1.88,36,2291,43,300611,1.34,24,2284,0,201,0,2306.04,17.71,140.9047241
Simpson Park,SPR1181360,522414.78,4385581.69,26.82,27.66,36,26.82,0,270.03,731.01,54,540,0.52,31,2275,8,302851,1.94,41,2308,32,201,7,2292.84,15.83,86.02838898
Diamond,DIA248360,599376.4,4421229.43,18.98,23.6,11,18.98,0,68.75,192.24,36,360,0.1,19,2037,49,302343,0.03,18,2024,36,107,7,2322.21,27.69,64.29686737
Diamond,DIA248120,599388.8,4421125.51,8.33,8.33,7,8.33,0,24.59,69.90,15,150,1.56,62,2299,58,263253,0.74,51,2290,36,107,7,2367.33,29.29,60.60946655
Simpson Park,SPR1181,522407.6,4385516.41,26.05,27.45,32,26.05,0,106.4,325.64,43,430,1.94,55,2305,29,264185,1.98,40,2295,32,201,7,2331.2,20.63,58.61381912
Simpson Park,SPR1181120,522450.64,4385479.35,35.22,35.22,44,35.22,0,75.06,253.40,51,510,1.91,52,2312,36,269536,1.87,54,2308,32,201,7,2335.31,16.22,56.67556381
Diamond,DIA248,599386.57,4421176.41,4.69,20.73,18,4.69,0,104.95,272.84,7,70,0.98,65,2337,51,275951,0.91,49,2333,36,107,7,2350.69,27.69,54.74277115
Diamond,DIA248240,599322.65,4421158.05,21.43,21.43,12,21.43,0,90.35,230.90,13,130,0.37,47,2301,48,262574,0.13,44,2302,36,107,7,2314.27,29.29,44.53068542
Simpson Park,SPR1181240,522350.77,4385507.28,60.29,70.59,45,60.29,0,280.49,841.71,74,740,1.98,52,2327,42,270263,1.9,48,2320,32,201,7,2345.37,20.63,39.67271042
