Mtn Range,Plot,EASTING,NORTHING,PJ_cover,Total_cover,Ecog_cover,Pinyon_cover,Juniper_cover,BA_plot,SDI_plot,Plot_pj_density,PJ_dens_per_ha,C_trans_aspect,C_slope,C_elevation,slope_pos,solar_rad,F_trans_aspect,F_slope,F_elevation,Pct_clay,Soil_depth,Soil_ph,dem_masked,Slope_Angl,cum_cwd
Sulphur Springs,SS256240,577525.43,4435317.18,28.01,28.01,20,4.76,23.53,148.66,457.18,63,630,0.07,8,2029,67,326538,0.09,7,2003,6,201,3,2026.23,5.18,308.9743958
Ravenswood,RAV339,480545.6,4401606.23,40,40,35,18,23.11,163.61,480.65,55,550,1.66,30,1897,62,314514,2,27,1863,27,43,7,1886.48,10.66,308.7954712
Fish Creek,FC837,576572.61,4337707.88,18.91,18.91,22,8.12,11.55,194.8,496.81,27,270,0.01,19,2154,40,323000,0.43,20,2129,33,86,6,2151.14,5.89,308.0259094
Ravenswood,RAV339360,480549.89,4401670.44,34.17,34.17,38,24.3,10.57,164.08,474.64,51,510,1.5,30,1898,65,317736,0.91,14,1864,27,43,7,1886.34,11.13,307.5810852
Sulphur Springs,SS256360,577600.65,4435382.64,28.57,28.57,30,13.87,15.69,125.08,372.42,45,450,1.07,5,2032,82,323414,1.71,5,2011,6,201,3,2031.67,5.18,307.4275208
Fish Creek,FC837120,576604.43,4337659.44,14.35,15.48,23,9.17,5.18,445.37,918.79,21,210,0.03,13,2156,38,325393,0.74,16,2131,33,86,6,2150.4,5.89,307.299469
Shoshone,SHO1371120,492033.81,4427828.66,5.11,5.11,10,0,5.11,20.47,56.46,5,50,1.92,36,1952,27,305818,2,32,1923,21,36,7,1939.89,9.41,305.1942749
Fish Creek,FC837240,576520.26,4337664.44,18.84,19.19,27,12.68,6.16,347.57,746.97,22,220,0.03,7,2146,27,326166,0.22,13,2117,33,86,6,2144.58,4.94,305.1173401
Ravenswood,RAV339120,480586.73,4401553.59,45.52,45.52,46,22.76,28.71,214.28,632.87,74,740,1.9,27,1887,55,314564,1.71,15,1854,27,43,7,1881.6,8.25,303.7879944
Shoshone,SHO424120,503603.41,4463331.37,31.02,31.02,35,21.57,20.1,284.2,748.66,55,550,0.13,37,2047,100,316679,0.03,40,2011,22,36,5,2022.86,19.74,303.4767761
Fish Creek,FC617240,581907.4,4356670.56,15.06,15.06,26,2.38,12.82,189.32,546.08,58,580,1.31,10,2058,46,325788,0.71,11,2037,5,220,3,2057.21,5.64,303.244873
