"","Number","Plot","Unique_tree","Date","Observers","Spp","Live","Code","X.Stems","Diameters","DecayClass","Height","Cones.Brown","Cones.Green","MortalityCause1","MortalityCause2","MortalityCause3","MortalityCause4","MortalityCause5","DMR","PerDeadCrown","Easting","Northing","Age","Cored","Comments","Diameters2","Diameters3","Diameters4","Diameters5","Diameters6","Diameters7","Diameters8","Diameters9","Diameters10","Diameters102","BA_cm","BA_m2_per_ha","ENN_dist","ENN_ID","Neighbor_larger","density_2m","BA_2m","SDI_2m","density_4m","BA_4m","SDI_4m","density_6m","BA_6m","SDI_6m","LiveDead","PDC05","Delta_pdc"
"82",27,"SHO424","SHO42427","6/17/2015","SF, JV ","PIMO","Y","",2.16666666666667,"15.1",2,4.52,"","","PTB",NA,NA,NA,NA,0,5,NA,NA,1,"","","15.1",18.8666666666667,9.1,NA,NA,NA,NA,NA,NA,NA,178.98785,0.17898785,1.88313698681823,"SHO42426",5.58962326213762,1,1000.47465,462.089898482661,1,1000.47465,115.522474620665,2,1308.22605,73.0146393214688,"L",0,-5
"83",8,"SPR1575","SPR15758","8/11/2015","JV, EK, SF","PIMO","Y","",1,"16.9",1,2.73,"0","0","PNS",NA,NA,NA,NA,0,5,NA,NA,1,"","","16.9",15.5333333333333,10.3,6.4,NA,NA,NA,NA,NA,NA,224.20385,0.22420385,2.49132729656587,"SPR15759",0.241203039109275,0,0,NA,3,373.5501,65.094231268164,5,1011.00935,71.1510281799862,"L",0,-5
"84",1,"DIA248120","DIA2481201","6/25/2015","SF","PIMO","Y","",2,"18",NA,3.43,"0","20",NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","18",23.7,NA,NA,NA,NA,NA,NA,NA,NA,254.34,0.25434,7.05880034413996,"DIA2481209",1.89827160493827,0,0,NA,0,0,NA,0,0,NA,"L",0,-5
"85",22,"FC795240","FC79524022","6/7/2015","SF, JV ","PIMO","Y","",2.57142857142857,"18.3",2.8,3.47,"","",NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","18.3",22.6714285714286,17.95,13.4,NA,NA,NA,NA,NA,NA,262.88865,0.26288865,2.36551680557838,"FC79524026",0.924960434769626,0,0,NA,3,620.18925,97.7762198120244,7,6877.7618,354.22300593414,"L",0,-5
"86",24,"DES998","DES99824","5/28/2015","SF, PJW ","PIMO","Y","",3.5,"19.5",4,2.9,"1","0","PNS",NA,NA,NA,NA,0,5,NA,NA,1,"","","19.5",24.85,17.45,11.9,NA,NA,NA,NA,NA,NA,298.49625,0.29849625,3.67427348197196,"DES99820",2.67616042077581,0,0,NA,2,1329.48385,166.421787235481,4,2457.45035,138.863926383404,"L",0,-5
"87",8,"DIA333360","DIA3333608","6/27/2015","EK, SF ","PIMO","Y","",2,"21.7",NA,4.31,"5","0","PTB",NA,NA,NA,NA,0,5,NA,NA,1,"","","21.7",18.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,369.64865,0.36964865,4.24546963732233,"DIA3333607",5.63241946102062,0,0,NA,0,0,NA,2,2330.73565,116.060690695485,"L",0,-5
"88",4,"FC791","FC7914","6/3/2015","JV, EK ","PIMO","Y","",5,"21.7",1,3.33,"","","PNS",NA,NA,NA,NA,0,5,NA,NA,1,"","","21.7",18.7,19.8,22.3,19.4,NA,NA,NA,NA,NA,369.64865,0.36964865,1.25902673480756,"FC7915",0.599375650364204,1,221.5584,137.820996286409,2,496.06505,75.443924507004,5,861.01155,62.5474860663277,"L",0,-5
"89",18,"DIA248","DIA24818","6/24/2015","SF, JV","PIMO","Y","",2,"22.6",2,4.59,"0","18","PTB","PSF",NA,NA,NA,0,5,NA,NA,1,"","","22.6",33.6,NA,NA,NA,NA,NA,NA,NA,NA,400.9466,0.4009466,2.87951466846191,"DIA24819",1.14660505912757,0,0,NA,1,459.7274,61.8952981015361,4,1498.32165,93.3573431668503,"L",0,-5
"90",22,"DES998","DES99822","5/28/2015","SF, PJW ","PIMO","Y","",3.5,"25.8",4,4.75,"2","0","PTB","RTB","PNS",NA,NA,0,5,NA,NA,1,"","","25.8",24.85,17.45,11.9,NA,NA,NA,NA,NA,NA,522.5274,0.5225274,0.87234676858417,"DES99823",0.188450213328526,1,98.4704,71.8933820216162,1,98.4704,17.973345505404,3,1223.9877,74.987886292196,"L",5,0
"91",6,"FC791240","FC7912406","6/3/2015","SF, EK ","PIMO","Y","",2.66666666666667,"27.6",1,4.28,"30","","PTB",NA,NA,NA,NA,0,5,NA,NA,1,"","","27.6",32.1,25.1,NA,NA,NA,NA,NA,NA,NA,597.9816,0.5979816,0.769257226027849,"FC7912405",0.11847563537072,1,70.84625,55.2001648049381,2,519.2461,78.2603072985807,5,1699.2895,107.933117761257,"L",5,0
"92",13,"FC791","FC79113","6/3/2015","JV, EK ","PIMO","Y","",5,"32.1",1,5.55,"25","",NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","32.1",18.7,19.8,22.3,19.4,NA,NA,NA,NA,NA,808.87185,0.80887185,2.3056388270664,"FC79110",0.436175891150125,0,0,NA,3,2759.6989,323.984370314528,5,3015.02015,170.99978150215,"L",10,5
"93",1,"SPR1575","SPR15751","8/11/2015","JV, EK, SF","PIMO","Y","",1,"38.7",1,4.73,"5","0","PNS","PTB",NA,NA,NA,0,5,NA,NA,1,"","","38.7",15.5333333333333,10.3,6.4,NA,NA,NA,NA,NA,NA,1175.68665,1.17568665,1.62352772311231,"SPR15753",0.256501679252716,1,301.5656,176.50823913253,2,1017.517,134.278572114439,3,2080.5954,114.787765796733,"L",5,0
"94",16,"DIA248","DIA24816","6/24/2015","SF, JV","PIMO","Y","",2,"49.4",2,4.54,"40","0","RTB",NA,NA,NA,NA,0,5,NA,NA,2,"","","49.4",33.6,NA,NA,NA,NA,NA,NA,NA,NA,1915.6826,1.9156826,2.622293664207,"DIA24815",0.564019243062499,0,0,NA,1,1080.48185,122.879411138591,1,1080.48185,54.6130716171518,"L",10,5
"95",53,"FC791","FC79153","6/3/2015","JV, EK ","PIMO","Y","",5,"1.6",1,3.39,"","","PNS",NA,NA,NA,NA,0,10,NA,NA,1,"","","1.6",18.7,19.8,22.3,19.4,NA,NA,NA,NA,NA,2.0096,0.0020096,1.59471535133051,"FC7911",105.0625,1,211.1336,132.592318275224,5,9394.7073,957.825696430404,7,9912.37555,474.961146649536,"L",0,-10
"98",18,"FC791","FC79118","6/3/2015","JV, EK ","PIMO","Y","",5,"8.4",1,2.65,"","","PNS","PTB",NA,NA,NA,0,10,NA,NA,1,"","","8.4",18.7,19.8,22.3,19.4,NA,NA,NA,NA,NA,55.3896,0.0553896,0.848955344875194,"FC79119",2.85770975056689,3,359.53,252.504999716159,7,3298.59355,441.943576809472,9,4064.40815,244.062928824531,"L",5,-5
"99",10,"DES998","DES99810","5/28/2015","SF, PJW ","PIMO","Y","",3.5,"9",4,2.05,"0","0","PNS","PTB",NA,NA,NA,0,10,NA,NA,1,"","dead top","9",24.85,17.45,11.9,NA,NA,NA,NA,NA,NA,63.585,0.063585,0.886908689622238,"DES9989",15.4711111111111,1,983.7306,455.873369934001,1,983.7306,113.9683424835,2,1973.02685,101.535107238798,"L",5,-5
