"","Number","Plot","Unique_tree","Date","Observers","Spp","Live","Code","X.Stems","Diameters","DecayClass","Height","Cones.Brown","Cones.Green","MortalityCause1","MortalityCause2","MortalityCause3","MortalityCause4","MortalityCause5","DMR","PerDeadCrown","Easting","Northing","Age","Cored","Comments","Diameters2","Diameters3","Diameters4","Diameters5","Diameters6","Diameters7","Diameters8","Diameters9","Diameters10","Diameters102","BA_cm","BA_m2_per_ha","ENN_dist","ENN_ID","Neighbor_larger","density_2m","BA_2m","SDI_2m","density_4m","BA_4m","SDI_4m","density_6m","BA_6m","SDI_6m","LiveDead","PDC05","Delta_pdc"
"1411",84,"ROB938","ROB93884","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"8.3",1.73076923076923,4.51,"0","0","PNS",NA,NA,NA,NA,0,20,NA,NA,1,"","","8.3",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,54.07865,0.05407865,1.1779673624616,"ROB93882",1.48076643925098,2,586.52845,345.196593540495,7,2150.1778,313.486356795733,14,3556.6466,239.270435056863,"L",20,0
"1413",6,"FC791120","FC7911206","6/4/2015","SF, JV ","JUOS","Y","",2.8,"10",NA,1.24,"","",NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","10",15.36,17.6666666666667,11.3,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.78604371539008,"FC79112047",0.2704,1,21.2264,20.9835688590873,6,1645.2187,245.304456263868,8,1810.1315,124.592307002928,"L",5,-5
"1414",41,"FC791120","FC79112041","6/4/2015","SF, JV ","PIMO","Y","",2.8,"10",NA,2.81,"","","PNS","PTB",NA,NA,NA,0,5,NA,NA,1,"","","10",15.36,17.6666666666667,11.3,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.96816788002117,"FC79112035",1.9321,1,151.66985,101.679345554037,3,1622.80695,211.578580531187,5,2537.11215,148.883899802297,"L",0,-5
"1415",11,"NP342240","NP34224011","7/22/2015","SF,JV,EK","PIMO","Y","",1,"10",1,2.39,"0","0","PSF","IPS",NA,NA,NA,0,0,NA,NA,1,"","","10",16.225,7.6,8.2,11.2,11,NA,NA,NA,NA,78.5,0.0785,3.65486627698144,"NP34224012",10.3041,0,0,NA,1,808.87185,97.4035024414935,2,2709.07425,130.951591805014,"L",0,0
"1418",65,"RAV339120","RAV33912065","6/23/2015","EK, JV ","JUOS","Y","",1.9,"10",1.02941176470588,2.28,"","",NA,NA,NA,NA,NA,0,15,NA,NA,1,"","","10",12.6058333333333,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.564228895385328,"RAV33912098",0.1764,1,13.8474,14.8939228181929,6,1757.9447,258.703705549439,11,3624.0938,231.606730869962,"L",0,-15
"1420",31,"RAV358","RAV35831","7/7/2015","SF,JV","JUOS","Y","",1,"10",1.03921568627451,3.6,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,"","","10",11.9,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,2.18152095845198,"RAV35823",0.3364,0,0,NA,6,1923.0459,278.027441560931,11,2661.8094,180.799880928983,"L",0,-10
"1421",47,"RAV358360","RAV35836047","7/9/2015","JV, EK","JUOS","Y","",1,"10",1.1,1.34,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","10",13.6,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.976637533154843,"RAV35836046",2.2801,1,178.98785,116.132022152914,5,2493.13645,330.321145962648,8,3277.6733,200.64128296174,"L",10,5
"1424",93,"ROB938360","ROB93836093","7/16/2015","SF,EK","JUOS","Y","",1,"10",1.76470588235294,3.7,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,"","","10",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.49286385079831,"ROB93836092",1.96,1,153.86,102.855965477666,7,1600.45015,247.350211750737,23,6531.99285,429.866895863799,"L",35,15
"1425",98,"ROB938360","ROB93836098","7/16/2015","SF,EK","PIMO","Y","",1,"10",1.76470588235294,2.17,"0","0","PTB","PSF",NA,NA,NA,0,20,NA,NA,1,"","","10",9.31176470588235,8.95714285714286,12.5,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.30799862416537,"ROB93836097",2.4964,5,901.4469,584.046108014169,12,2707.5592,419.549499075092,22,5190.6084,354.331462021789,"L",10,-10
"1428",23,"SPR1620","SPR162023","7/16/2014","PW, AU, TD","PIMO","Y","",1,"10",2.125,2.99,"0","0","PSF","RTB",NA,NA,NA,0,30,NA,NA,1,"","","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.698858317842243,"SPR162024",1.96,1,153.86,102.855965477666,4,347.4881,65.0148020018995,10,1314.44325,100.718420389332,"L",5,-25
"1429",32,"SPR1620","SPR162032","7/16/2014","PW, AU, TD","PIMO","Y","",1,"10",2.125,2.62,"0","0","PTM",NA,NA,NA,NA,1,10,NA,NA,1,"","","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.47065396779417,"SPR162031",9.61,1,754.385,368.40838522181,3,2689.41,317.345467340065,7,4542.9206,253.943380583698,"L",5,-5
"1430",25,"SPR1620120","SPR162012025","3/21/2015","SF,PW","PIMO","N","",1,"10",1,1.91,NA,NA,"PTB","PSF",NA,NA,NA,1,100,NA,NA,1,"","","10",21.76,25.2,16.6,14.3,NA,NA,NA,NA,NA,78.5,0.0785,1.45174724628919,"SPR162012024",2.0449,1,160.52465,106.41634243463,2,196.82305,35.929442372129,4,580.06005,43.5925700515856,"L",0,-100
"1431",11,"SPR1620240","SPR162024011","7/17/2014","PW, AU, TD","PIMO","Y","",1,"10",1.75,1.79,"0","0","RTB",NA,NA,NA,NA,0,60,NA,NA,1,"","","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,2.46190869200386,"SPR162024010",5.6169,0,0,NA,2,912.1229,122.997799587326,3,1371.8503,82.1748029910545,"L",40,-20
"1432",33,"SPR1620360","SPR162036033","7/18/2014","PW,TD,AU","PIMO","Y","",1,"10",2.75,3.54,"0","0",NA,NA,NA,NA,NA,0,40,NA,NA,1,"","dead top","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.968372968039379,"SPR162036032",1.9881,6,865.541,586.029252910915,13,1587.4584,277.695311634415,18,3312.1819,237.479719751175,"L",5,-35
"1433",21,"SS256","SS25621","8/15/2014","PW,AU,SF","PIMO","Y","",1,"10",NA,2.58,"0","0",NA,NA,NA,NA,NA,0,0,NA,NA,1,"","","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,3.46757998659624,"SS25637",0.0529,0,0,NA,1,4.15265,1.41646932321207,2,20.76325,2.62664577102222,"L",0,0
"1434",16,"SS256360","SS25636016","8/15/2014","PW, SF, AU, MR, SF","PIMO","Y","",1,"10",2,2.91,"0","0",NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","10",13.2333333333333,10,9.4,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.85729985415972,"SS25636051",0.36,2,415.1394,261.58639935742,6,1279.4715,200.483224476643,11,1928.12485,139.577235916076,"L",0,-5
"1435",18,"TOI1577","TOI157718","10/2/2015","PW,SF","PIMO","N","",1,"10",1,2.1,NA,NA,"PMB","PTB",NA,NA,NA,0,100,NA,NA,1,"","","10",12.6666666666667,4.3,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.91270007003346,"TOI157717",1.2769,1,100.23665,72.9264192171489,1,100.23665,18.2316048042872,6,1890.0131,121.861484505859,"L",60,-40
"1436",50,"TOI1577360","TOI157736050","10/3/2015","PW,SF","PIMO","Y","",1,"20.3",1.18918918918919,10,"0","0","IPS","PSF",NA,NA,NA,6,60,NA,NA,1,"","","10",10.95,8.45,13.5,12.1,NA,NA,NA,NA,NA,78.5,0.0785,2.10756076382078,"TOI1577360110",2.3104,0,0,NA,7,4309.81964,547.723512238973,15,7093.63306,422.103302402751,"L",20,-40
"1438",8,"TOI1596240","TOI15962408","7/29/2015","JV,EK","PIMO","N","",1,"10",1,4.03,"0","0","RTB","IPS",NA,NA,NA,0,100,NA,NA,1,"","","10",44.9,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.593759240723563,"TOI15962409",28.6225,3,2560.7444,1220.4119093305,4,2581.9708,325.086462580048,6,5865.3092,302.382676931614,"D",100,0
"1439",20,"TOI1596360","TOI159636020","7/29/2015","SF,EK","PIMO","Y","",1,"10",NA,2.96,"2","2","PNS","PTB",NA,NA,NA,0,20,NA,NA,1,"","","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,0.0785,2.02480874260958,"TOI159636018",26.4196,0,0,NA,2,2351.389,262.991927513873,3,2507.45485,133.332065465799,"L",5,-15
"1440",5,"TOI533","TOI5335","7/10/2015","PW,SF,EK","PIMO","Y","",1,"10",1,4.91,"0","0","PTB","PSF",NA,NA,NA,0,5,NA,NA,1,"","","10",15.49,15.2166666666667,13.7333333333333,13.25,17.75,19,17.5,26,21,78.5,0.0785,1.1016872731793,"TOI5334",10.1761,1,798.82385,385.725218897849,6,2454.98545,338.220735228253,12,3983.74155,254.208768721148,"L",5,0
"1441",14,"TOI533240","TOI53324014","7/10/2015","SF","JUOS","Y","",1,"10",1,2.68,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,"","","10",10.73125,7.02,6.2,NA,NA,NA,NA,NA,NA,78.5,0.0785,1.72287186897797,"TOI53324058",10.0489,1,788.83865,381.851150743012,5,1337.8912,200.447370086307,9,2630.79405,172.14767929271,"L",20,0
"1442",23,"TOI533240","TOI53324023","7/10/2015","SF","JUOS","Y","",1,"10",1,3.09,NA,NA,NA,NA,NA,NA,NA,0,30,NA,NA,1,"","","10",10.73125,7.02,6.2,NA,NA,NA,NA,NA,NA,78.5,0.0785,0.786085237082838,"TOI53324024",0.6561,3,686.56885,424.35714868549,7,2230.64815,322.867176354564,14,3203.60855,220.016129220922,"L",15,-15
"1443",44,"ROB938","ROB93844","6/29/2015","SF, EK, JV ","PIMO","Y","",2.22222222222222,"10.3",1.73076923076923,3.55,"0","0","PSF","PNS",NA,NA,NA,0,20,NA,NA,1,"","","10.3",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,1.036241709739,"ROB93845",0.502309359977378,3,340.3289,241.624710796593,16,4499.0862,667.493522591822,37,10165.6002,673.383812759885,"L",30,10
"1445",11,"FC791120","FC79112011","6/4/2015","SF, JV ","PIMO","Y","",2.8,"10.1",NA,1.38,"","","PNS",NA,NA,NA,NA,0,10,NA,NA,1,"","","10.1",15.36,17.6666666666667,11.3,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,2.39343810784645,"FC79112010",3.36055288697187,0,0,NA,3,1085.12905,153.181514969622,11,3475.2892,223.94371176327,"L",0,-10
"1448",8,"RAV339","RAV3398","5/20/2015","SF,JV,EK","PIMO","N","",1,"10.1",1,3.86,NA,NA,"PTB","PSF",NA,NA,NA,0,100,NA,NA,1,"","","10.1",13.15,13.0333333333333,14.8,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,2.09408471222515,"RAV33957",0.659151063621214,0,0,NA,2,81.0434,17.6278942850297,5,230.70365,21.7378387773179,"L",15,-85
"1449",16,"ROB926360","ROB92636016","7/31/2015","SF, EK","PIMO","Y","",1,"10.1",NA,2.69,"3","0","PSF","PTB",NA,NA,NA,0,5,NA,NA,1,"","","10.1",13.4,15.1,NA,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,1.86547665065788,"ROB92636015",3.0021566513087,2,349.70965,227.950146022262,3,550.66965,88.8786983354429,3,550.66965,39.5016437046413,"L",0,-5
"1450",37,"ROB938","ROB93837","6/29/2015","SF, EK, JV ","JUOS","N","",2.22222222222222,"10.1",1.73076923076923,3.58,"","",NA,NA,NA,NA,NA,0,80,NA,NA,1,"","","10.1",10.3052631578947,7.3,7,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,0.348457245422469,"ROB938190",0.30742084109401,5,1456.0023,858.114455785014,16,4031.9955,611.286246601576,27,7060.47055,472.282575731337,"L",50,-30
"1451",51,"SPR1575","SPR157551","8/11/2015","JV, EK, SF","PIMO","Y","",1,"13.7",1,3.25,"0","0","PBR","PTB",NA,NA,NA,0,20,NA,NA,1,"","","13.7",15.5333333333333,10.3,6.4,NA,NA,NA,NA,NA,NA,147.33665,0.14733665,1.0747818378399,"SPR157554",2.39890244552187,3,786.65635,473.325651045902,5,1436.44795,212.213404477541,9,3723.51405,227.494684956297,"L",10,-10
"1452",22,"ROB938240","ROB93824022","7/15/2015","SF, JV, EK","PIMO","Y","",1,"10.1",1.58064516129032,4.07,"0","0","RTB","PTB","PSF",NA,NA,0,90,NA,NA,1,"","","10.1",8.92083333333333,7.55,5.95,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,0.840772853996949,"ROB93824025",1.78658955004411,5,1037.927,654.005693106053,16,5477.259,781.649085092079,24,7440.4655,481.248495962408,"L",65,-25
"1453",24,"SHO424240","SHO42424024","6/18/2015","JV,EK","JUOS","Y","",1,"10.1",1,3,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,1,"","","10.1",29.8,NA,NA,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,3.02505795915876,"SHO42424025",27.0401921380257,0,0,NA,1,2165.32045,214.663222410397,3,2889.8205,149.416616576992,"L",35,0
"1455",87,"SS32360","SS3236087","8/14/2014","PW, SF, AU","PIMO","Y","",1,"10.1",1.22222222222222,2.78,"0","0","PNS",NA,NA,NA,NA,0,10,NA,NA,1,"","","10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,0.862457443772797,"SS3236089",11.6004313302617,1,928.9376,435.381817701339,2,976.697,129.938187277544,6,1901.0031,122.429807873738,"L",0,-10
"1456",33,"SS452","SS45233","8/19/2014","SF, TD, AU","PIMO","Y","",1,"10.1",NA,1.1,"0","0",NA,NA,NA,NA,NA,0,15,NA,NA,1,"","","10.1",13.76,8,12.1,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,2.5447960949697,"SS45234",4.48936378786393,0,0,NA,1,359.4986,50.8098722252545,2,1578.1012,84.874107453046,"L",0,-15
"1457",74,"WHIS25120","WHIS2512074","7/20/2015","EK,JV,SF","PIMO","Y","",1,"10.1",1,2.71,"0","0","RTB","PSF",NA,NA,NA,0,85,NA,NA,1,"","","10.1",7,NA,NA,NA,NA,NA,NA,NA,NA,80.07785,0.08007785,0.40941730471942,"WHIS2512072",1.92138025683757,7,677.50995,496.338292814566,18,2486.35405,424.479480404224,27,6300.54345,431.036230498377,"L",100,15
"1460",19,"DES105360","DES10536019","9/19/2014","SF, PW","PIMO","Y","",1,"10.2",1,2.78,"0","0","RTB",NA,NA,NA,NA,0,10,NA,NA,1,"","","10.2",5.1,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.96211547387518,"DES10536058",0.13158400615148,1,10.74665,12.1522796493791,4,463.18925,81.880242199364,12,1495.8018,115.822597736542,"L",15,5
"1461",6,"NP342120","NP3421206","7/21/2015","JV,SF,EK","PIMO","Y","",1,"10.2",1.75,2.77,"0","0","PNS",NA,NA,NA,NA,0,15,NA,NA,1,"","","10.2",15,11.2,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.43594699800147,"NP3421205",1.40724721261053,1,114.93185,81.38877412935,3,671.4419,104.209381223059,5,1467.0237,95.9248108639141,"L",0,-15
"1462",63,"RAV358","RAV35863","7/7/2015","SF,JV","PIMO","N","",1,"10.2",1,1.86,"rtb","",NA,NA,NA,NA,NA,0,100,NA,NA,1,"","","10.2",11.9,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,0.864640373201581,"RAV35864",2.77777777777778,1,226.865,140.463830198545,2,430.34485,67.311977689001,6,2793.3832,166.733624328124,"L",15,-85
"1463",26,"RAV358360","RAV35836026","7/9/2015","JV, EK","PIMO","N","",1,"10.2",1,2.38,NA,NA,"RTB","IPS",NA,NA,NA,0,100,NA,NA,1,"","","10.2",13.6,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.53668096944267,"RAV35836027",1.40724721261053,1,114.93185,81.38877412935,6,1370.0291,211.793012110336,11,2420.7359,167.537268871778,"D",100,0
"1464",53,"RAV358360","RAV35836053","7/9/2015","JV, EK","JUOS","Y","",1,"10.2",1.1,2.24,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","10.2",13.6,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.61017982139987,"RAV35836054",0.512206843521722,1,41.83265,36.1682235517458,3,664.2199,103.308922240362,7,2116.43065,137.569666914308,"L",0,-5
"1465",10,"ROB926","ROB92610","8/1/2015","EK,JV,SF","JUOS","Y","",1,"10.2",NA,2.46,NA,NA,"BB",NA,NA,NA,NA,0,35,NA,NA,1,"","","10.2",9.5,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,2.59658776581406,"ROB9269",0.795943867743176,0,0,NA,4,1040.30555,156.739905261449,6,2028.55775,128.979687398063,"L",5,-30
"1466",1,"ROB926360","ROB9263601","7/31/2015","SF, EK","PIMO","Y","",1,"10.2",NA,2.93,"0","0","PSF","PTB",NA,NA,NA,0,5,NA,NA,1,"","","10.2",13.4,15.1,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.25065041632215,"ROB92636027",4.90926566705113,1,400.9466,221.83906835846,2,1003.26925,132.767588172744,5,1712.79935,108.621204043709,"L",0,-5
"1467",28,"DIA333240","DIA33324028","6/28/2015","JV, EK","PIMO","Y","",2.5,"15.1",1.33333333333333,3.32,"","","PSF","RTB",NA,NA,NA,0,20,NA,NA,1,"","","15.1",14.1,8.2,NA,NA,NA,NA,NA,NA,NA,178.98785,0.17898785,2.6384291963045,"DIA33324027",0.610674970396035,0,0,NA,2,520.96525,78.4681741754858,3,1543.9851,90.3516563146452,"L",0,-20
"1468",50,"SPR1575240","SPR157524050","8/12/2015","JV, EK, SF","PIMO","Y","",1,"10.2",1,2.95,"0","0","PTB",NA,NA,NA,NA,0,50,NA,NA,1,"","","10.2",16,20.4,10.4,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.4826895769965,"SPR157524080",0.117743175701653,1,9.61625,11.1153514521948,2,118.91965,23.9797998045206,10,5677.47325,325.857742138927,"L",10,-40
"1469",28,"SPR1620120","SPR162012028","3/21/2015","SF,PW","PIMO","N","",1,"10.2",1,1.15,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,"","cankers","10.2",21.76,25.2,16.6,14.3,NA,NA,NA,NA,NA,81.6714,0.0816714,1.81938527871431,"SPR162012027",3.69242599000384,1,301.5656,176.50823913253,4,639.304,106.044500607418,8,2724.13105,172.961450375337,"D",100,0
"1470",55,"SPR1620360","SPR162036055","7/18/2014","PW,TD,AU","PIMO","Y","",1,"10.2",2.75,2.98,"0","0","RTB",NA,NA,NA,NA,0,80,NA,NA,1,"","dead top","10.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.08594233196105,"SPR162036054",3.69242599000384,2,612.43345,357.379208102889,8,2771.3326,394.565411625306,14,3813.1689,253.023532602093,"L",55,-25
"1471",96,"SPR1620360","SPR162036096","7/18/2014","PW,TD,AU","PIMO","Y","",1,"10.2",2.75,3.16,"0","0","PTM",NA,NA,NA,NA,0,90,NA,NA,1,"","","10.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,0.374605346806995,"SPR162036098",0.694444444444444,3,186.36685,149.026461489174,3,186.36685,37.2566153722934,9,1366.6065,101.77365434513,"L",35,-55
"1472",8,"SS604120","SS6041208","8/18/2014","SF, TD, AU","PIMO","Y","",1,"10.2",2,3.05,"0","9","PNS","PTB",NA,NA,NA,0,5,NA,NA,1,"","","10.2",20.1,18.1,27.6,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,4.14788180006671,"SS6041207",9.96578239138793,0,0,NA,0,0,NA,1,813.9194,43.507101651191,"L",0,-5
"1473",11,"SS604120","SS60412011","8/18/2014","SF, TD, AU","PIMO","Y","",1,"10.2",2,3.6,"0","0","PNS",NA,NA,NA,NA,0,5,NA,NA,1,"","","10.2",20.1,18.1,27.6,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,1.5022746946571,"SS60412015",0.334582852748943,1,27.32585,25.6987184609484,1,27.32585,6.42467961523709,2,2336.04225,116.27270050674,"L",0,-5
"1474",51,"WHIS25120","WHIS2512051","7/20/2015","EK,JV,SF","PIMO","Y","",1,"10.2",1,2.3,"0","0","RTB","PTB","PSF",NA,NA,0,30,NA,NA,1,"","","10.2",7,NA,NA,NA,NA,NA,NA,NA,NA,81.6714,0.0816714,0.551148285562471,"WHIS2512098",1.01970396001538,2,106.17125,87.5759937773571,4,2751.8175,342.139090768692,10,9410.7213,488.82224998048,"L",0,-30
"1476",10,"DES1014120","DES101412010","5/27/2015","PW,SF,JV,EK","JUOS","Y","",1,"10.3",1,2.04,"","",NA,NA,NA,NA,NA,0,25,NA,NA,1,"","","10.3",13.175,10.95,11.6,13.4,NA,NA,NA,NA,NA,83.28065,0.08328065,2.49447773140509,"DES10141208",1.51390328965972,0,0,NA,4,714.9152,115.997119908248,4,714.9152,51.5542755147767,"L",5,-20
"1478",7,"DES1014360","DES10143607","5/26/2015","SF,JV","PIMO","Y","",1,"10.3",1.4,4.82,"0","0","PTB",NA,NA,NA,NA,0,95,NA,NA,1,"","","10.3",23.2,19.5,NA,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,0.423186091432144,"DES10143608",6.77010085776228,1,563.8184,291.642177578471,2,653.69305,94.1438706276319,6,1429.5635,97.3989377383943,"L",20,-75
"1482",3,"DIA333240","DIA3332403","6/28/2015","JV, EK","PIMO","Y","",2.5,"17",1.33333333333333,4.77,"","","PNS",NA,NA,NA,NA,0,20,NA,NA,1,"","","17",14.1,8.2,NA,NA,NA,NA,NA,NA,NA,226.865,0.226865,1.97942778660819,"DIA3332404",0.261903114186851,1,59.41665,47.9316509832989,1,59.41665,11.9829127458247,3,853.30285,56.1384401964355,"L",0,-20
"1483",98,"ROB938120","ROB93812098","6/30/2015","SF, EK, JV ","JUOS","Y","",1,"10.3",1.28205128205128,2.97,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,1,"","","10.3",9.075,9.025,NA,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,0.233054247289574,"ROB93812097",1.98180789895372,3,316.2765,227.822305639006,6,803.0079,137.950609236606,8,1572.00175,111.258295973211,"L",5,-10
"1484",38,"ROB938240","ROB93824038","7/15/2015","SF, JV, EK","PIMO","Y","",1,"10.3",1.58064516129032,4.37,"0","0","PSF","PNS",NA,NA,NA,0,15,NA,NA,1,"","","10.3",8.92083333333333,7.55,5.95,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,1.08186599243444,"ROB938240173",0.362333867471015,6,357.7716,288.412889431771,11,3157.67035,466.571278433641,15,5345.1592,336.34503406205,"L",5,-10
"1485",125,"ROB938240","ROB938240125","7/15/2015","SF, JV, EK","JUOS","Y","",1,"10.3",1.58064516129032,4.25,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,1,"","","10.3",8.92083333333333,7.55,5.95,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,0.479188790042532,"ROB938240126",2.32906023187859,6,851.04205,578.138182890053,20,4617.73895,712.293689519489,39,7628.70065,540.406325749036,"L",30,-40
"1487",75,"SS32360","SS3236075","8/14/2014","PW, SF, AU","JUOS","Y","",1,"10.3",1.22222222222222,2.07,"0","0",NA,NA,NA,NA,NA,0,30,NA,NA,1,"","","10.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,1.30255073841368,"SS3236093",0.190875671599585,1,15.89625,16.6379598704584,5,1638.5148,235.854460244453,11,3427.2315,221.45513015584,"L",10,-20
"1488",43,"TOI1596240","TOI159624043","7/29/2015","JV,EK","PIMO","Y","",1,"10.3",1.15789473684211,2.54,"0","0","PNS",NA,NA,NA,NA,5,5,NA,NA,1,"","","10.3",44.9,NA,NA,NA,NA,NA,NA,NA,NA,83.28065,0.08328065,2.9952244013509,"TOI159624045",3.08803845791309,0,0,NA,2,497.5801,75.6287776362338,7,3729.94955,216.778928528202,"L",5,0
"1491",98,"ROB938","ROB93898","6/29/2015","SF, EK, JV ","JUOS","Y","",2,"7.4, 7.3",1.73076923076923,3.75,"","",NA,NA,NA,NA,NA,0,70,NA,NA,1,"","","7.4",7.3,7.3,7,NA,NA,NA,NA,NA,NA,84.81925,0.08481925,0.696166263335665,"ROB938100",0.506802406293383,7,923.08935,636.174200804221,18,5769.333035,834.104987905627,22,7971.075735,499.935986175025,"L",25,-45
"1492",50,"DES105","DES10550","8/13/2015","JV,SF,EK","PIMO","Y","",1,"10.4",1.19230769230769,2.49,"0","0","PSF","PTB",NA,NA,NA,3,10,NA,NA,1,"","","10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9056,0.0849056,0.916217102176852,"DES10551",3.30260724852071,1,280.40985,166.500362571903,3,1977.9365,247.995015262337,4,2452.9871,138.661494514804,"L",20,10
"1493",16,"NP342360","NP34236016","7/21/2015","JV,EK","JUOS","Y","",1,"10.4",1.21428571428571,1.24,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,1,"","","10.4",16.1111111111111,13.1,12.85,14.1,NA,NA,NA,NA,NA,84.9056,0.0849056,1.43299307191081,"NP34236063",0.355399408284024,2,104.03605,86.1597749439661,6,685.86235,121.553125933801,8,1887.7994,128.864536465456,"L",5,-35
"1501",21,"ROB938240","ROB93824021","7/15/2015","SF, JV, EK","JUOS","Y","",1,"10.4",1.58064516129032,2.26,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,"","","10.4",8.92083333333333,7.55,5.95,NA,NA,NA,NA,NA,NA,84.9056,0.0849056,1.30898406229179,"ROB93824032",5.10586168639053,4,819.697,517.815142608867,15,5122.1564,731.332747828792,24,7475.0997,483.045380507994,"L",15,10
"1502",9,"DIA333240","DIA3332409","6/28/2015","JV, EK","PIMO","Y","",2.5,"17.8",1.33333333333333,5.21,"","","PSF",NA,NA,NA,NA,0,20,NA,NA,1,"","","17.8",14.1,8.2,NA,NA,NA,NA,NA,NA,NA,248.7194,0.2487194,1.86226573495401,"DIA33324010",0.592381012498422,1,147.33665,99.3414507850035,3,1841.5629,234.177279773423,7,3686.60335,214.754928064017,"L",0,-20
"1503",54,"SS32120","SS3212054","8/13/2014","PW, SF, AU","PIMO","Y","",1,"10.4",1,2.49,"0","0","PNS",NA,NA,NA,NA,0,0,NA,NA,1,"","","10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9056,0.0849056,3.19331297879616,"SS3212052",1.73529955621302,0,0,NA,2,410.2253,64.7746433267168,6,1940.1746,124.450230297861,"L",0,0
"1504",17,"SS32360","SS3236017","8/14/2014","PW, SF, AU","PIMO","Y","",1,"10.4",1.22222222222222,3.15,"0","0","PTB",NA,NA,NA,NA,0,5,NA,NA,1,"","","10.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.9056,0.0849056,1.23234510900897,"SS3236018",1.61094674556213,1,136.7784,93.5869184538314,7,4823.26765,599.500297673388,19,8045.3394,489.296120027348,"L",0,-5
"1505",18,"TOI1577360","TOI157736018","10/3/2015","PW,SF","JUOS","Y","",1,"10.4",1.18918918918919,2.96,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,"","","10.4",10.95,8.45,13.5,12.1,NA,NA,NA,NA,NA,84.9056,0.0849056,0.677617364422744,"TOI157736019",0.534023668639053,5,3293.793275,1652.18614472116,9,4535.93995,599.707524571985,23,13451.92162,767.554548853251,"L",5,-15
