"","Plot","Avg_pdc","Avg_delta_pdc","Weighted_pdc","prop_died","n.died","Cluster","Swness","Slope","Elev","Tpi","Cum_cwd","Percent.Clay","Avg_depth","Pct_pimo","Pct_juos","SDI.Plot","Weighted_pimo","Weighted_juos"
"1","DES1014",72.8571428571429,-14.375,-174.436018179587,0.636363636363636,35,"DES1014",-0.957873,15.4474,2075.98999,-33.595001,187.207993,9.6,25.75555556,0.935654173853954,0.0640496227762968,573.93,-190.58123008664,NA
"2","DES1014120",40.4464285714286,-14.0178571428571,-126.832289284137,0.109756097560976,9,"DES1014",-0.949032,13.239,2078.580078,-12.2397,223.692001,12.9,23.6,0.737071048815853,0.261543418720799,620.7,-150.253641229599,-77.3872129548271
"3","DES1014240",50.0877192982456,-1.75438596491228,-28.7625748851626,0.411764705882353,21,"DES1014",-0.998216,14.3468,2091.949951,-13.2065,187.207993,9.8,36.66666667,0.868018626181357,0.131843606205053,362.93,-43.2395221260304,74.6441911210363
"4","DES1014360",44.25,-15.25,-143.890759395797,0.116279069767442,5,"DES1014",0.069695,10.1331,2076.639893,-32.057899,273.889008,9.7,17,0.871715568942796,0.127504504746793,371.83,-154.091411642069,-52.0848891793502
"5","DES105",61.5384615384615,-0.769230769230769,1.37851320012284,0.613636363636364,27,"DES105",0.223765,29.3311,1966.349976,-19.5702,206.466003,11.4,21.8,1,0,362.45,1.37851320012284,NA
"6","DES105120",23.1818181818182,-6.81818181818182,-56.6944883395973,0.111111111111111,2,"DES105",0.520718,28.1231,1995.099976,-19.5702,227.535004,10.1,23.8,1,0,93.17,-56.6944883395973,NA
"7","DES105240",60.9090909090909,-20.4545454545455,-251.672757722013,0.333333333333333,6,"DES105",-0.834002,33.964298,1978.329956,-24.3967,219.408005,20.2,24.8,0.904841302923837,0.0950991484547133,167.93,-287.305206178631,NA
"8","DES105360",29.7777777777778,-13.6666666666667,-120.481306529109,0.106060606060606,7,"DES105",-0.911216,12.7906,1955.060059,-18.611601,206.466003,9.6,29,1,0,233.6,-120.481306529109,NA
"9","DES998",20.2758620689655,-2,-21.2882082353739,0.0333333333333333,1,"DES998",0.722138,21.713699,2117.350098,23.7852,306.928986,4.6,16.8,0.806322914373762,0.193539511336122,363.44,-0.651562063987817,-100.395351892354
"10","DES998120",27.2727272727273,-7.72727272727273,-131.020995813373,0,0,"DES998",0.994801,31.3566,2133.100098,51.2976,326.259003,6.9,12.2,0.187953644403782,0.767063129002745,327.9,-63.6901917548038,-187.129999195514
"11","DES998240",19.5833333333333,-4.16666666666667,-55.9031235019157,0.04,1,"DES998",0.814494,16.819799,2104.310059,23.7852,306.928986,5.3,16.8,0.756259370314843,0.238718140929535,266.8,-67.7332701039448,-32.2428302978576
"12","DES998360",47.2727272727273,-13.1818181818182,-269.748449593905,0.24,6,"DES998",0.151181,22.038799,2116.139893,45.669399,260.609009,7.1,21.4,0.490381522228656,0.469664800874992,621.72,-197.711398026389,-514.674424923459
"13","DIA248",28.1578947368421,-11.8421052631579,-191.13453956828,0.0909090909090909,2,"DIA248",0.330608,34.889301,2347.48999,-16.5371,51.8876,12.2,30.2,0.47126521037971,0,272.84,-56.1139728663238,NA
"14","DIA248120",30.7142857142857,-28.5714285714286,-425.963192771072,0,0,"DIA248",0.161934,27.5987,2368.379883,21.1404,51.8876,15.5,27.4,1,0,69.9,-425.963192771072,NA
"15","DIA248240",20.3333333333333,-18.3333333333333,-246.618413092915,0,0,"DIA248",0.09279,21.0096,2315.51001,18.1819,41.8382,12.9,20,1,0,230.9,-246.618413092915,NA
"16","DIA248360",12.5,-5.55555555555556,-85.3173403674399,0,0,"DIA248",0.580568,41.366001,2329.409912,-16.5371,72.415001,9.8,22.2,0.578807740324594,0,192.24,-56.8696734824192,NA
"17","DIA333",32.6388888888889,-18.6055555555556,-282.504643724549,0,0,"DIA333",0.835551,7.94399,2046.050049,5.01648,263.194,12.7,38,0.569742245962357,0.42196830356018,793.78,-402.386805522505,-196.874528154581
"18","DIA333120",20.1785714285714,-4.10714285714286,-32.5609386313267,0.0294117647058824,1,"DIA333",0.797774,7.97388,2049.889893,5.01648,263.194,12.8,17.6,0.509128664275505,0.480758339850597,741.62,-64.4216477385425,-0.754093333657941
"19","DIA333240",29.2727272727273,-18.4545454545455,-234.21802253822,0.0483870967741935,3,"DIA333",0.87386,9.8809,2037.27002,5.01648,243.815002,12.5,18,0.847219036697248,0.143162270642202,697.6,-230.860987873578,-277.027420587894
"20","DIA333360",28.0434782608696,-19.3478260869565,-308.615130463792,0,0,"DIA333",0.621619,1.04291,2044.780029,5.08264,260.390991,15.1,20,0.60540329131442,0.384939378440988,332.39,-253.687342869158,-464.243861981923
"21","FC791",25.4814814814815,-14.0925925925926,-201.124974037032,0.0161290322580645,1,"FC791",0.753962,3.07639,2213.649902,37.958698,276.704987,15.5,15.6,0.424135259422173,0.536026691992402,800.24,-137.242916973901,-367.218322401174
"22","FC791120",19.6739130434783,-6.41304347826087,-48.5674552474891,0,0,"FC791",-0.097517,9.6662,2210.669922,37.570301,276.704987,20.2,15,0.632450188938509,0.365381312263827,465.76,-54.0504259216087,-36.0349508495012
"23","FC791240",30.78125,-11.5625,-150.694579525663,0,0,"FC791",0.984857,7.32285,2207.879883,32,280.498993,13.5,20.33333333,0.242295569237804,0.733435678006239,612.31,-142.335393416595,-159.05376563473
"24","FC791360",32.1052631578947,-10.2631578947368,-174.26368285042,0,0,"FC791",-0.881118,5.55873,2211.810059,37.958698,273.38501,12.8,12.4,0.235889307336607,0.709384087333746,839.08,-155.299817951484,-203.341609028789
"25","FC795",37.5714285714286,-3.10714285714286,-71.5140703337875,0.121212121212121,4,"FC795",0.604188,15.343,2169.040039,0.082764,283.417999,21.9,18.4,0.105723452110473,0.823786635002911,875.87,-79.8650028059456,-69.6986502311444
"26","FC795120",39.7619047619048,-4.04761904761905,-76.085860225175,0,0,"FC795",0.549953,15.9416,2178.870117,20.6199,283.417999,11.6,19.2,0,1,529.04,NA,-76.085860225175
"27","FC795240",40.7954545454545,-2.38636363636364,-31.2214230708106,0.24,12,"FC795",0.453777,15.4549,2159.600098,12.6445,283.417999,10.4,15.2,0.0339116903781355,0.937517549606889,1709.44,-56.1972280189446,-25.5284577336814
"28","FC795360",48.9285714285714,-14.4642857142857,-242.805637766664,0.161290322580645,5,"FC795",0.677101,16.012199,2165.030029,-4.34717,280.161011,6.7,22,0.121185927910796,0.146069236753393,925.52,-281.735436468309,-234.342638048915
"29","NP342",37.3333333333333,-33.1666666666667,-362.15245679244,0.108695652173913,5,"NP342",0.494633,13.326,2087.25,10.2314,271.842987,10.4,15,0.73741983226443,0.262025160335471,162.16,-373.605687490584,-324.520413069969
"30","NP342120",35.6818181818182,-20.7954545454545,-226.998247090846,0.0909090909090909,5,"NP342",0.198115,10.6672,2075.110107,10.2314,296.760986,15.1,15.4,0.555539383353953,0.43980302258448,412.23,-243.340456773527,-195.403308370997
"31","NP342240",31.1764705882353,-30.8823529411765,-317.553102353026,0.1,2,"NP342",-0.244842,16.176201,2085.639893,10.2314,296.760986,8.7,24,0.700294406280667,0.267419038272816,101.9,-263.275498537238,-417.062042681972
"32","NP342360",48.6170212765957,-31.9148936170213,-298.118356653466,0.233333333333333,14,"NP342",-0.930418,7.31678,2099.570068,16.371799,271.842987,5.2,31.6,0.45763629206849,0.54236370793151,406.48,-494.177130930524,-139.763192814304
"33","RAV339",66.3888888888889,-47.5925925925926,-484.029008238661,0.349206349206349,22,"RAV339",-0.82623,11.8007,1888.650024,3.36365,307.390991,10.2,43,0.45779673358993,0.5416623322584,480.65,-749.354011768512,-237.655790675228
"34","RAV339120",67.9838709677419,-43.0645161290323,-468.98953440925,0.341463414634146,28,"RAV339",-0.687204,11.3144,1879.430054,3.36365,296.613007,5.6,43,0.538357008548359,0.459478249877542,632.87,-615.365689520134,-322.613379298366
"35","RAV339240",58.9583333333333,-45.625,-499.235196464028,0.164179104477612,11,"RAV339",-0.858148,22.1653,1908.069946,16.6777,320.355988,7.4,43,0.609047926937687,0.388810312777823,494.92,-814.277020206352,-184.193372721704
