Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES1014,29,Pimo,D,29,1,5,,IPS,RWB,MT,,Both,Previous,100,451655.661,4373565.327,,
DES1014,30,Pimo,D,22,1,5,,IPS,RWB,MT,,Both,Previous,100,451659.661,4373565.327,,
DES1014,31,Pimo,L,20,,5,0,,,MT,5,,,15,451661.661,4373559.327,,
DES1014,32,Pimo,D,11,1,3,,IPS,RWB,,0,Both,Previous,100,451654.661,4373558.327,,
DES1014,33,Pimo,D,40,1,6,,IPS,RWB,,0,Both,Previous,100,451651.661,4373558.327,,
DES1014,34,Pimo,L,18,,5,0,,RWB,,0,Branches,Previous,25,451650.661,4373561.327,,
DES1014,35,Pimo,D,19,1,5,,IPS,RWB,MT,,Both,Previous,100,451647.661,4373560.327,,
DES1014,36,Pimo,D,17,1,5,,IPS,RWB,MT,,Both,Previous,100,451647.661,4373559.327,,
DES1014,37,Pimo,L,13,,3,0,,,,0,,,5,451648.661,4373557.327,,
DES1014,38,Juos,L,13,,3,,,,,0,,,10,451651.661,4373557.327,,
DES1014,39,Pimo,L,7,,2,0,,,,0,,,5,451653.661,4373557.327,,
DES1014,40,Pimo,D,25,1,5,,IPS,RWB,MT,,Both,Previous,100,451653.661,4373553.327,,
DES1014,41,Pimo,D,17,1,5,,IPS,,,0,Both,Previous,100,451652.661,4373551.327,,
DES1014,42,Pimo,D,17,1,4,,IPS,RWB,,0,Both,Previous,100,451652.661,4373551.327,,
DES1014,43,Pimo,L,8,,2,0,,,MT,3,,,15,451650.661,4373550.327,,
DES1014,44,Pimo,L,15,,4,0,IPS,,MT,2,Both,Previous,90,451650.661,4373548.327,,
DES1014,45,Pimo,L,14,,4,0,IPS,RWB,MT,,Both,Previous,100,451651.661,4373548.327,,
DES1014,46,Pimo,L,11,,3,0,,,MT,3,,,5,451652.661,4373549.327,,
DES1014,47,Pimo,L,8,,4,0,,,MT,5,,,10,451653.661,4373548.327,,
DES1014,48,Pimo,L,18,,5,0,,,MT,5,,,10,451653.661,4373550.327,,
DES1014,49,Pimo,D,27,1,5,,IPS,RWB,MT,,Both,Previous,100,451655.661,4373547.327,,
DES1014,50,Pimo,D,43,1,6,,IPS,RWB,MT,,Both,Previous,100,451658.661,4373543.327,,
DES1014,51,Pimo,D,15,1,4,,IPS,,MT,,Both,Previous,100,451658.661,4373549.327,,
