"","site","tmean","ppt"
"1","SS452",7.42000007629395,290.320007324219
"2","SS452120",7.42000007629395,290.320007324219
"3","SS452240",7.42000007629395,290.320007324219
"4","SS452360",7.42000007629395,290.320007324219
"5","TOI1577",8.68000030517578,317.190002441406
"6","TOI1577360",8.68000030517578,317.190002441406
"7","SS604",7.78000020980835,312.390014648438
"8","SS256240",7.59999990463257,355.429992675781
"9","SS604120",7.78000020980835,312.390014648438
"10","SPR1575240",8.02000045776367,309.529998779297
"11","DES105360",9.13000011444092,237.440002441406
"12","DES105240",9.13000011444092,237.440002441406
"13","DES105",9.13000011444092,237.440002441406
"14","DES105120",9.13000011444092,237.440002441406
"15","NPELECTRICEEL240",8.40999984741211,295.260009765625
"16","NPELECTRICEEL360",8.40999984741211,295.260009765625
"17","NPELECTRICEEL120",8.40999984741211,295.260009765625
"18","SPR1575120",8.02000045776367,309.529998779297
"19","SPR1575",8.02000045776367,309.529998779297
"20","SPR1575360",8.02000045776367,309.529998779297
"21","TOI1596",8.15999984741211,337.100006103516
"22","TOI1596360",8.15999984741211,337.100006103516
"23","TOI1596240",8.15999984741211,337.100006103516
"24","TOI1596120",8.15999984741211,337.100006103516
"25","ROB926360",7.6100001335144,297.989990234375
"26","ROB926",7.6100001335144,297.989990234375
"27","ROB926240",7.6100001335144,297.989990234375
"28","ROB926120",7.6100001335144,297.989990234375
"29","SS604360",7.78000020980835,312.390014648438
"30","SS604240",7.78000020980835,312.390014648438
"31","SS32240",7.94999980926514,294.480010986328
"32","SS32",7.94999980926514,294.480010986328
"33","SS32360",7.94999980926514,294.480010986328
"34","SS32120",7.94999980926514,294.480010986328
"35","SHO424120",8.98999977111816,341.609985351562
"36","SHO424360",8.98999977111816,341.609985351562
"37","ROB938240",6.82999992370605,426.359985351562
"38","ROB938360",6.82999992370605,426.359985351562
"39","WHIS64120",7.57999992370605,320.399993896484
"40","WHIS64",7.57999992370605,320.399993896484
"41","WHIS64360",7.57999992370605,320.399993896484
"42","WHIS64240",7.57999992370605,320.399993896484
"43","WHIS25",7.86999988555908,278.609985351562
"44","WHIS25240",7.86999988555908,278.609985351562
"45","WHIS25120",7.86999988555908,278.609985351562
"46","WHIS25360",7.86999988555908,278.609985351562
"47","NP342360",8.61999988555908,253.440002441406
"48","NP342",8.61999988555908,253.440002441406
"49","NP342240",8.61999988555908,253.440002441406
"50","NP342120",8.61999988555908,253.440002441406
"51","RAV358",8.76000022888184,244.970001220703
"52","RAV358240",8.76000022888184,244.970001220703
"53","RAV358120",8.76000022888184,244.970001220703
"54","RAV358360",8.76000022888184,244.970001220703
"55","TOI533360",8.39000034332275,282.859985351562
"56","TOI533",8.39000034332275,282.859985351562
"57","TOI533240",8.39000034332275,282.859985351562
"58","TOI533120",8.39000034332275,282.859985351562
"59","DIA248240",6.84999990463257,407.160003662109
"60","DIA248",6.84999990463257,407.160003662109
"61","DIA248360",6.84999990463257,407.160003662109
"62","DIA333",7.67999982833862,306.829986572266
"63","DIA333360",7.67999982833862,306.829986572266
"64","DIA333120",7.67999982833862,306.829986572266
"65","ROB938",6.82999992370605,426.359985351562
"66","ROB938120",6.82999992370605,426.359985351562
"67","SHO446",7.69000005722046,410.339996337891
"68","SHO446240",7.69000005722046,410.339996337891
"69","SHO446120",7.69000005722046,410.339996337891
"70","SHO446360",7.69000005722046,410.339996337891
"71","SHO424",8.98999977111816,341.609985351562
"72","SHO424240",8.98999977111816,341.609985351562
"73","FC791240",7.61999988555908,289.130004882812
"74","FC791120",7.61999988555908,289.130004882812
"75","FC791360",7.61999988555908,289.130004882812
"76","FC795",7.69000005722046,286.140014648438
"77","FC795120",7.69000005722046,286.140014648438
"78","FC795360",7.69000005722046,286.140014648438
"79","FC795240",7.69000005722046,286.140014648438
"80","SS256120",7.59999990463257,355.429992675781
"81","SS256",7.59999990463257,355.429992675781
"82","SS256360",7.59999990463257,355.429992675781
"83","DES998360",7.92000007629395,239.949996948242
"84","DES998240",7.92000007629395,239.949996948242
"85","DES998120",7.92000007629395,239.949996948242
"86","RAV339",8.76000022888184,244.970001220703
"87","RAV339240",8.76000022888184,244.970001220703
"88","RAV339360",8.76000022888184,244.970001220703
"89","RAV339120",8.76000022888184,244.970001220703
"90","DES1014",8.35999965667725,246.320007324219
"91","DES1014360",8.35999965667725,246.320007324219
"92","DES1014120",8.35999965667725,246.320007324219
"93","DES998",7.92000007629395,239.949996948242
"94","DES1014240",7.59000015258789,339.25
"95","SPR1620",8.60999965667725,305.609985351562
"96","SPR1620240",8.60999965667725,305.609985351562
"97","SPR1620360",8.60999965667725,305.609985351562
"98","SPR1620120",8.60999965667725,305.609985351562
"99","DIA248120",6.84999990463257,407.160003662109
"100","DIA333240",7.67999982833862,306.829986572266
"101","FC791",7.61999988555908,289.130004882812
"102","NPELECTRICEEL",8.40999984741211,295.260009765625
