Plot name,Weight of Orig Flask,Weight soil wet,Weight soil + Flask after drying,Weight soil after drying,Weight flask + sand,Weight beaker,Weight beaker + silt,Weight Sand,Weight Silt,Weight Clay,Percent Sand,Percent Silt,Percent Clay
SS604240,209.68,15.58,224.52,14.84,216.27,176.03,182.78,6.59,6.75,1.5,44.4,45.5,10.1
SS604360,200.63,15.13,215.03,14.4,208.73,173.85,179.04,8.1,5.19,1.11,56.2,36.0,7.7
TOI1577,166.93,15.15,179.54,12.61,172.26,174.82,180.65,5.33,5.83,1.45,42.3,46.2,11.5
TOI1577360,171.25,15.7,185.01,13.76,178.82,173.03,177.62,7.57,4.59,1.6,55.0,33.4,11.6
TOI1596,383.57,31.04,413.92,30.35,397.08,347.39,359.7,13.51,12.31,4.53,44.5,40.6,14.9
TOI1596120,383.57,31.04,413.92,30.35,397.08,347.39,359.7,13.51,12.31,4.53,44.5,40.6,14.9
TOI1596240,204.58,16.91,221.04,16.46,212.66,174.18,180.54,8.08,6.36,2.02,49.1,38.6,12.3
TOI1596360,200.28,16.2,216.13,15.85,208.2,173.03,179.87,7.92,6.84,1.09,50.0,43.2,6.9
TOI533,206.94,15.39,221.82,14.88,213.08,177.48,184.22,6.14,6.74,2,41.3,45.3,13.4
TOI533120,165.7,15.11,180.35,14.65,173.13,174.92,179.74,7.43,4.82,2.4,50.7,32.9,16.4
TOI533240,174.68,15.2,189.14,14.46,180.36,176.27,183.27,5.68,7,1.78,39.3,48.4,12.3
TOI533360,175.24,15.94,190.6,15.36,182.03,174.03,180.44,6.79,6.41,2.16,44.2,41.7,14.1
WHIS25,210.16,15.31,225.11,14.95,220.5,176.84,179.84,10.34,3,1.61,69.2,20.1,10.8
WHIS25120,205.91,16.74,222.13,16.22,214.61,174.4,179.09,8.7,4.69,2.83,53.6,28.9,17.4
WHIS25240,202.91,16.2,218.86,15.95,212.82,173.96,178.21,9.91,4.25,1.79,62.1,26.6,11.2
WHIS25360,198.9,15.32,214.05,15.15,211.43,172.31,174.17,12.53,1.86,0.76,82.7,12.3,5.0
WHIS64,198.81,16.04,214.58,15.77,209.2,175.72,179.73,10.39,4.01,1.37,65.9,25.4,8.7
WHIS64120,407.1,31.64,437.95,30.85,427.79,346.12,354.26,20.69,8.14,2.02,67.1,26.4,6.5
WHIS64240,407.1,31.64,437.95,30.85,427.79,346.12,354.26,20.69,8.14,2.02,67.1,26.4,6.5
WHIS64360,203.68,15.25,218.6,14.92,212.75,176.4,181.06,9.07,4.66,1.19,60.8,31.2,8.0
