Number,Plot,Unique_tree,Date,Observers,Spp,Live,Code,X.Stems,Diameters,DecayClass,Height,Cones.Brown,Cones.Green,MortalityCause1,MortalityCause2,MortalityCause3,MortalityCause4,MortalityCause5,DMR,PerDeadCrown,Easting,Northing,Age,Cored,Comments,Diameters2,Diameters3,Diameters4,Diameters5,Diameters6,Diameters7,Diameters8,Diameters9,Diameters10,Diameters102,BA_cm,BA_m2_per_ha
81,RAV358360,RAV35836081,7/9/2015,"JV, EK",PIMO,N,I,1,6.1,1,1.43,NA,NA,PTB,NA,NA,NA,NA,0,100,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
5,DIA248,DIA2485,6/24/2015,"SF, JV",PIMO,Y,,NA,43.4,NA,5.26,240,50,NA,NA,NA,NA,NA,0,10,NA,NA,2,,,43.4,,NA,NA,NA,NA,NA,NA,NA,NA,1478.5946,1.4785946
138,ROB938120,ROB938120138,6/30/2015,"SF, EK, JV ",PIMO,Y,M,1,6.1,NA,2.09,0,0,PNS,NA,NA,NA,NA,0,15,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
30,SS32360,SS3236030,8/14/2014,"PW, SF, AU",PIMO,N,,1,6.1,1,1.28,0,0,IPS,NA,NA,NA,NA,0,100,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
108,TOI1577360,TOI1577360108,10/3/2015,"PW,SF",PIMO,Y,P,1,6.1,NA,1.82,0,0,PNS,PTB,NA,NA,NA,1,15,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
58,TOI1596240,TOI159624058,7/29/2015,"JV,EK",PIMO,Y,I,1,6.1,NA,1.35,0,0,PSF,PNS,PTB,NA,NA,2,20,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
32,TOI533360,TOI53336032,7/9/2015,"PW,EK",JUOS,Y,,1,6.1,NA,2.83,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
98,WHIS25,WHIS2598,7/19/2015,"JV, EK",JUOS,Y,I,1,6.1,NA,1.3,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
95,WHIS25120,WHIS2512095,7/20/2015,"EK,JV,SF",JUOS,Y,I,1,6.1,NA,1.8,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
115,WHIS25120,WHIS25120115,7/20/2015,"EK,JV,SF",JUOS,Y,M,1,6.1,NA,2.8,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,,,6.1,,NA,NA,NA,NA,NA,NA,NA,NA,29.20985,0.02920985
25,DES105,DES10525,8/13/2015,"JV,SF,EK",PIMO,Y,,1,6.2,NA,1.5,0,0,NA,NA,NA,NA,NA,1,5,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
18,DES105120,DES10512018,9/20/2014,"SF, PW",PIMO,Y,I,1,6.2,NA,1.68,0,0,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
49,DES105360,DES10536049,9/19/2014,"SF, PW",PIMO,Y,I,1,6.2,NA,2.72,0,0,RTB,NA,NA,NA,NA,0,10,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
27,DIA333120,DIA33312027,6/28/2015,"SF, JV",PIMO,Y,,NA,6.2,NA,2.64,0,0,RTB,PNS,PTB,NA,NA,0,60,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
50,NP342120,NP34212050,7/21/2015,"JV,SF,EK",PIMO,Y,M,1,6.2,NA,1.32,0,0,PNS,NA,NA,NA,NA,0,35,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
63,NP342360,NP34236063,7/21/2015,"JV,EK",JUOS,Y,I,1,6.2,NA,1.49,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
62,NPELECTRICEEL,NPELECTRICEEL62,8/5/2015,"SF,EK",PIMO,Y,,1,6.2,NA,2.2,0,0,IPS,PBR,PSF,NA,NA,0,5,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
89,RAV339240,RAV33924089,5/21/2015,"SF,JV,EK",PIMO,N,,1,6.2,1,1.66,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
16,RAV358120,RAV35812016,7/8/2015,"PW,EK",PIMO,Y,,1,6.2,NA,1.24,0,0,PTB,PSF,PNS,NA,NA,0,40,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
172,ROB938,ROB938172,6/29/2015,"SF, EK, JV ",JUOS,Y,M,NA,6.2,NA,2.75,,,NA,NA,NA,NA,NA,NA,15,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
173,ROB938240,ROB938240173,7/15/2015,"SF, JV, EK",CELE,N,M,1,6.2,2,1.13,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
14,SHO446120,SHO44612014,6/16/2015,"SF, EK ",PIMO,Y,I,NA,6.2,NA,1.01,0,0,PBR,NA,NA,NA,NA,1,0,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
38,SHO446360,SHO44636038,6/15/2015,"JV, EK ",PIMO,Y,I,NA,6.2,NA,1.6,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
12,SPR1620,SPR162012,7/16/2014,"PW, AU, TD",PIMO,Y,,1,6.2,NA,1.5,0,0,PTB,NA,NA,NA,NA,0,70,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
30,SS32,SS3230,8/12/2014,"PW, SF, AU",PIMO,Y,I,1,6.2,NA,1.24,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
43,SS452,SS45243,8/19/2014,"SF, TD, AU",PIMO,Y,I,1,6.2,NA,1.31,0,0,PTB,PNS,NA,NA,NA,0,90,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
49,TOI1577,TOI157749,10/2/2015,"PW,SF",PIMO,Y,I,1,6.2,NA,1.72,0,0,PSF,NA,NA,NA,NA,0,5,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
63,TOI533240,TOI53324063,7/10/2015,SF,PIMO,Y,,1,6.2,NA,1.84,0,0,PSF,PNS,NA,NA,NA,0,5,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
26,WHIS25120,WHIS2512026,7/20/2015,"EK,JV,SF",PIMO,Y,,1,6.2,NA,1.29,0,0,PSF,PTB,NA,NA,NA,0,30,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
64,WHIS25360,WHIS2536064,7/20/2015,"SF,JV,EK",JUOS,Y,M,1,6.2,NA,1.18,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,1,,,6.2,,NA,NA,NA,NA,NA,NA,NA,NA,30.1754,0.0301754
97,RAV339120,RAV33912097,6/23/2015,"EK, JV ",JUOS,Y,,2,"4.6,4.3",NA,1.97,,,NA,NA,NA,NA,NA,NA,80,NA,NA,1,,,4.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA,31.12525,0.03112525
57,DES105,DES10557,8/13/2015,"JV,SF,EK",PIMO,Y,I,1,6.3,NA,1.2,0,0,NA,NA,NA,NA,NA,4,5,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
12,DES105120,DES10512012,9/20/2014,"SF, PW",PIMO,Y,I,1,6.3,NA,1.86,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
6,FC795,FC7956,6/4/2015,"SF, JV ",PIMO,Y,,NA,43.6,NA,5.66,25,,RTB,PNS,PTB,NA,NA,0,10,NA,NA,2,,,43.6,,NA,NA,NA,NA,NA,NA,NA,NA,1492.2536,1.4922536
28,FC791,FC79128,6/3/2015,"JV, EK ",JUOS,Y,,NA,6.3,NA,1.8,,,NA,NA,NA,NA,NA,NA,0,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
26,DIA333120,DIA33312026,6/28/2015,"SF, JV",PIMO,Y,,NA,49.3,NA,7.48,11,120,PTB,PNS,NA,NA,NA,0,10,NA,NA,2,,,49.3,,NA,NA,NA,NA,NA,NA,NA,NA,1907.93465,1.90793465
38,NPELECTRICEEL,NPELECTRICEEL38,8/5/2015,"SF,EK",JUOS,Y,,1,6.3,NA,2.5,NA,NA,PTB,PNS,NA,NA,NA,0,15,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
51,NPELECTRICEEL,NPELECTRICEEL51,8/5/2015,"SF,EK",PIMO,Y,,1,6.3,NA,1.95,0,0,PTB,PSF,NA,NA,NA,0,5,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
38,NPELECTRICEEL240,NPELECTRICEEL24038,8/5/2015,"JV, SF, EK",PIMO,Y,,1,6.3,NA,1.63,0,0,PTB,IPS,PBR,NA,NA,0,15,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
123,ROB938360,ROB938360123,7/16/2015,"SF,EK",PIMO,Y,,1,6.3,NA,1.42,0,0,PSF,NA,NA,NA,NA,0,80,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
45,SHO424,SHO42445,6/17/2015,"SF, JV ",PIMO,Y,I,NA,6.3,NA,0.66,0,0,PTM,PTB,NA,NA,NA,0,10,NA,NA,1,,">1m long, growing tangle ",6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
29,SS32,SS3229,8/12/2014,"PW, SF, AU",PIMO,Y,I,1,6.3,NA,1.51,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
90,TOI1596120,TOI159612090,7/30/2015,"SF,JV",PIMO,Y,I,1,6.3,NA,1.52,0,0,PNS,PBR,PTB,NA,NA,0,10,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
67,WHIS25,WHIS2567,7/19/2015,"JV, EK",JUOS,Y,P,1,6.3,NA,2.1,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
24,WHIS25120,WHIS2512024,7/20/2015,"EK,JV,SF",JUOS,Y,,1,6.3,NA,2.15,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
109,WHIS25120,WHIS25120109,7/20/2015,"EK,JV,SF",PIMO,Y,M,1,6.3,NA,1.93,0,0,PSF,PTB,NA,NA,NA,0,10,NA,NA,1,,,6.3,,NA,NA,NA,NA,NA,NA,NA,NA,31.15665,0.03115665
81,DES1014,DES101481,5/25/2015,"SF,JV",PIMO,N,M,1,6.4,1,2.97,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
66,DES1014120,DES101412066,5/27/2015,"PW,SF,JV,EK",PIMO,Y,I,1,6.4,NA,3.32,,,PTB,NA,NA,NA,NA,4,80,NA,NA,1,,cankers,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
10,FC791,FC79110,6/3/2015,"JV, EK ",PIMO,Y,,NA,21.2,NA,3.15,,,PNS,RTB,NA,NA,NA,0,12,NA,NA,1,,,21.2,,NA,NA,NA,NA,NA,NA,NA,NA,352.8104,0.3528104
38,DIA333360,DIA33336038,6/27/2015,"EK, SF ",PIMO,Y,I,NA,3.3,NA,1.48,0,0,PTB,NA,NA,NA,NA,0,15,NA,NA,1,,,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.54865,0.00854865
64,SPR1575,SPR157564,8/11/2015,"JV, EK, SF",PIMO,Y,I,1,6.7,NA,1.89,0,0,PTB,PSF,NA,NA,NA,0,15,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
18,NP342240,NP34224018,7/22/2015,"SF,JV,EK",PIMO,Y,I,1,6.4,NA,1.43,0,0,PSF,IPS,PTB,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
35,NPELECTRICEEL120,NPELECTRICEEL12035,8/9/2015,"SF, JV",PIMO,Y,,1,6.4,NA,1.8,0,0,PTB,PBR,NA,NA,NA,0,60,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
11,RAV339,RAV33911,5/20/2015,"SF,JV,EK",PIMO,Y,,1,6.4,NA,2.09,0,0,PSF,PTB,NA,NA,NA,0,10,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
72,RAV339240,RAV33924072,5/21/2015,"SF,JV,EK",JUOS,Y,,1,6.4,NA,1.69,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
59,RAV339360,RAV33936059,5/23/2015,"SF,JV",PIMO,N,P,1,6.4,1,1.7,NA,NA,RTB,NA,NA,NA,NA,0,100,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
5,RAV358360,RAV3583605,7/9/2015,"JV, EK",PIMO,N,,1,6.4,1,2.74,NA,NA,RTB,PTB,NA,NA,NA,0,100,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
129,ROB938120,ROB938120129,6/30/2015,"SF, EK, JV ",PIMO,Y,M,1,6.4,NA,1.18,NA,NA,PNS,NA,NA,NA,NA,0,20,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
74,ROB938240,ROB93824074,7/15/2015,"SF, JV, EK",JUOS,Y,,1,6.4,NA,3.07,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
178,ROB938240,ROB938240178,7/15/2015,"SF, JV, EK",PIMO,N,I,1,6.4,NA,2.4,0,0,PTB,NA,NA,NA,NA,0,100,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
66,SHO424360,SHO42436066,8/3/2015,"EK,JV,SF",PIMO,Y,I,1,6.4,NA,1.53,0,0,PTB,NA,NA,NA,NA,0,80,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
46,SS256360,SS25636046,8/15/2014,"PW, SF, AU, MR, SF",PIMO,Y,,1,6.4,NA,1.69,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
66,SS256360,SS25636066,8/15/2014,"PW, SF, AU, MR, SF",PIMO,Y,,1,6.4,NA,2.3,0,0,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
18,SS604,SS60418,8/17/2014,"SF, TD, AU",PIMO,Y,I,1,6.4,NA,2.49,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
10,SS604360,SS60436010,8/17/2014,"SF, TD, AU",PIMO,Y,,1,6.4,NA,1.84,0,0,PNS,NA,NA,NA,NA,0,5,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
9,WHIS64240,WHIS642409,7/18/2015,"JV, SF",PIMO,Y,I,1,6.4,NA,1.4,0,0,PNS,PTB,NA,NA,NA,0,0,NA,NA,1,,,6.4,,NA,NA,NA,NA,NA,NA,NA,NA,32.1536,0.0321536
53,DES105,DES10553,8/13/2015,"JV,SF,EK",PIMO,Y,I,1,6.5,NA,2.09,0,0,PTB,PNS,NA,NA,NA,1,5,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
53,NP342120,NP34212053,7/21/2015,"JV,SF,EK",PIMO,Y,P,1,6.5,NA,1.87,0,0,PTB,PSF,PNS,NA,NA,0,5,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
47,NPELECTRICEEL120,NPELECTRICEEL12047,8/9/2015,"SF, JV",PIMO,Y,,1,6.5,NA,1.87,0,0,PTB,PSF,NA,NA,NA,0,40,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
26,NPELECTRICEEL240,NPELECTRICEEL24026,8/5/2015,"JV, SF, EK",PIMO,Y,,1,6.5,NA,2.55,0,0,PTB,PTM,PSF,NA,NA,0,50,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
38,DIA333,DIA33338,6/27/2015,"EK, JV",PIMO,Y,,NA,8.7,NA,2,0,0,NA,NA,NA,NA,NA,0,15,NA,NA,1,,,8.7,,NA,NA,NA,NA,NA,NA,NA,NA,59.41665,0.05941665
57,SPR1575,SPR157557,8/11/2015,"JV, EK, SF",PIMO,Y,,1,9.1,NA,2.26,0,0,PTB,NA,NA,NA,NA,0,15,NA,NA,1,,,9.1,,NA,NA,NA,NA,NA,NA,NA,NA,65.00585,0.06500585
180,ROB938240,ROB938240180,7/15/2015,"SF, JV, EK",JUOS,Y,I,1,6.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
33,SHO424240,SHO42424033,6/18/2015,"JV,EK",PIMO,Y,I,1,6.5,NA,1.8,0,0,NA,NA,NA,NA,NA,0,5,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
3,SHO446,SHO4463,6/14/2015,"SF, EK ",PIMO,Y,,NA,6.5,NA,1.3,,,NA,NA,NA,NA,NA,3,5,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
123,SPR1620360,SPR1620360123,7/18/2014,"PW,TD,AU",PIMO,Y,I,1,6.5,NA,1.46,0,0,RTB,PTM,NA,NA,NA,0,15,NA,NA,1,,dead top,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
40,SS256360,SS25636040,8/15/2014,"PW, SF, AU, MR, SF",JUOS,Y,,1,6.5,NA,2.12,0,0,NA,NA,NA,NA,NA,0,15,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
65,SS32120,SS3212065,8/13/2014,"PW, SF, AU",PIMO,Y,I,1,6.5,NA,1.82,0,0,PNS,NA,NA,NA,NA,0,10,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
46,TOI533,TOI53346,7/10/2015,"PW,SF,EK",PIMO,Y,I,1,6.5,NA,1.96,0,0,PTB,NA,NA,NA,NA,0,0,NA,NA,1,,,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,33.16625,0.03316625
41,DES1014360,DES101436041,5/26/2015,"SF,JV",PIMO,Y,I,1,6.6,NA,1.41,0,0,PBR,RTB,NA,NA,NA,0,70,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
59,DES105360,DES10536059,9/19/2014,"SF, PW",PIMO,Y,I,1,6.6,NA,1.68,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
34,NP342120,NP34212034,7/21/2015,"JV,SF,EK",PIMO,Y,,1,6.6,NA,2.6,0,0,PTB,NA,NA,NA,NA,0,30,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
90,NPELECTRICEEL120,NPELECTRICEEL12090,8/9/2015,"SF, JV",PIMO,Y,,1,6.6,NA,3.03,0,0,PTB,NA,NA,NA,NA,0,70,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
9,RAV339240,RAV3392409,5/21/2015,"SF,JV,EK",JUOS,Y,,1,6.6,NA,2.61,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
37,RAV358240,RAV35824037,7/8/2015,"EK,SF",JUOS,Y,I,1,6.6,NA,1.46,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
17,DIA333240,DIA33324017,6/28/2015,"JV, EK",PIMO,Y,,NA,10.1,NA,3.19,,,RTB,PSF,PNS,NA,NA,0,15,NA,NA,1,,,10.1,,NA,NA,NA,NA,NA,NA,NA,NA,80.07785,0.08007785
119,ROB938120,ROB938120119,6/30/2015,"SF, EK, JV ",PIMO,Y,M,1,6.6,NA,1.91,0,0,PSF,PNS,NA,NA,NA,0,30,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
198,ROB938240,ROB938240198,7/15/2015,"SF, JV, EK",JUOS,Y,I,1,6.6,NA,1.17,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
49,SHO446360,SHO44636049,6/15/2015,"JV, EK ",PIMO,Y,,NA,6.6,NA,1.8,,,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
22,SPR1575240,SPR157524022,8/12/2015,"JV, EK, SF",JUOS,Y,,1,6.6,NA,2.79,,,NA,NA,NA,NA,NA,NA,20,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
43,SPR1575240,SPR157524043,8/12/2015,"JV, EK, SF",PIMO,Y,,1,6.6,NA,2.98,0,0,PBR,PTB,NA,NA,NA,0,40,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
32,SS32,SS3232,8/12/2014,"PW, SF, AU",PIMO,Y,I,1,6.6,NA,1.27,0,0,NA,NA,NA,NA,NA,1,5,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
69,SS32120,SS3212069,8/13/2014,"PW, SF, AU",PIMO,Y,I,1,6.6,NA,1.19,0,0,PTB,NA,NA,NA,NA,0,10,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
20,TOI1577,TOI157720,10/2/2015,"PW,SF",PIMO,Y,,1,6.6,NA,4.03,0,0,PTB,PSF,PNS,NA,NA,0,5,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
66,TOI1596240,TOI159624066,7/29/2015,"JV,EK",PIMO,Y,M,1,6.6,NA,2.44,0,0,PSF,NA,NA,NA,NA,2,20,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
19,TOI533240,TOI53324019,7/10/2015,SF,PIMO,Y,,1,6.6,NA,2.64,0,,PSF,NA,NA,NA,NA,0,15,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
100,WHIS25,WHIS25100,7/19/2015,"JV, EK",PIMO,Y,I,1,6.6,NA,2.3,0,0,PSF,PTB,NA,NA,NA,0,20,NA,NA,1,,,6.6,,NA,NA,NA,NA,NA,NA,NA,NA,34.1946,0.0341946
13,DES1014,DES101413,5/25/2015,"SF,JV",PIMO,N,,1,6.7,1,2.79,NA,NA,IPS,NA,NA,NA,NA,0,100,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
15,DES105240,DES10524015,9/21/2014,"SF, PW",PIMO,Y,I,1,6.7,NA,2.01,0,0,PTM,NA,NA,NA,NA,0,0,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
22,DIA248360,DIA24836022,6/26/2015,"SF, JV ",PIMO,Y,I,NA,6.7,NA,1.7,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
6,DIA333240,DIA3332406,6/28/2015,"JV, EK",PIMO,Y,,NA,10.8,NA,2.83,,,PNS,PSF,NA,NA,NA,0,15,NA,NA,1,,,10.8,,NA,NA,NA,NA,NA,NA,NA,NA,91.5624,0.0915624
8,NPELECTRICEEL,NPELECTRICEEL8,8/5/2015,"SF,EK",PIMO,Y,,1,6.7,NA,2.74,0,0,PSF,NA,NA,NA,NA,0,5,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
77,RAV339240,RAV33924077,5/21/2015,"SF,JV,EK",PIMO,N,,1,6.7,1,3,NA,NA,PTB,IPS,NA,NA,NA,0,100,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
21,RAV339360,RAV33936021,5/23/2015,"SF,JV",PIMO,N,,1,6.7,1,2.25,NA,NA,IPS,NA,NA,NA,NA,0,100,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
171,ROB938,ROB938171,6/29/2015,"SF, EK, JV ",JUOS,N,M,NA,6.7,2,1.99,,,NA,NA,NA,NA,NA,NA,100,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
149,ROB938240,ROB938240149,7/15/2015,"SF, JV, EK",CELE,N,,1,6.7,NA,2.17,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,1,,,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,35.23865,0.03523865
38,DIA333240,DIA33324038,6/28/2015,"JV, EK",PIMO,Y,,NA,11.6,NA,2.95,,,NA,NA,NA,NA,NA,0,15,NA,NA,1,,,11.6,,NA,NA,NA,NA,NA,NA,NA,NA,105.6296,0.1056296
