"","site","cwd_total_10_yr","cwd_normal_cum","cwd_normal_summer","cwd_peak_summer","cwd_peak_anom","vpd_normal_growing_season_avg","vpd_normal_annual_max","vpd_peak_vpd","vpd_peak_anom","avg_summer_tmax","peak_tmax","peak_winter_tmin","avg_ann_ppt","min_ann_ppt"
"1","DES1014",3688.29286670685,352.409096300602,231.049015045166,282.763671875,1.2238254805792,12.59658,19.7938,23.4708,1.18576523962049,29.0463331858317,32.8699989318848,-3.83999991416931,52.3966437747836,38.8823192842007
"2","DES1014120",3688.29286670685,352.409096300602,231.049015045166,282.763671875,1.2238254805792,12.59658,19.7938,23.4708,1.18576523962049,29.0463331858317,32.8699989318848,-3.83999991416931,52.3966437747836,38.8823192842007
"3","DES1014240",3688.29286670685,352.409096300602,231.049015045166,282.763671875,1.2238254805792,11.28272,18.1222,22.3992,1.23600887309488,26.6909998575846,30.4200000762939,-2.19000005722046,73.5708457428694,53.7006796257496
"4","DES1014360",3688.29286670685,352.409096300602,231.049015045166,282.763671875,1.2238254805792,12.59658,19.7938,23.4708,1.18576523962049,29.0463331858317,32.8699989318848,-3.83999991416931,52.3966437747836,38.8823192842007
"5","DES105",3140.94029808044,300.033383846283,196.211326599121,242.930099487305,1.23810436277022,13.63118,21.321,25.0773,1.17617841564655,29.883333269755,33.6599998474121,-3.25999999046326,49.5439704068005,36.6394998788834
"6","DES105120",3140.94029808044,300.033383846283,196.211326599121,242.930099487305,1.23810436277022,13.63118,21.321,25.0773,1.17617841564655,29.883333269755,33.6599998474121,-3.25999999046326,49.5439704068005,36.6394998788834
"7","DES105240",3140.94029808044,300.033383846283,196.211326599121,242.930099487305,1.23810436277022,13.63118,21.321,25.0773,1.17617841564655,29.883333269755,33.6599998474121,-3.25999999046326,49.5439704068005,36.6394998788834
"8","DES105360",3140.94029808044,300.033383846283,196.211326599121,242.930099487305,1.23810436277022,13.63118,21.321,25.0773,1.17617841564655,29.883333269755,33.6599998474121,-3.25999999046326,49.5439704068005,36.6394998788834
"9","DES998",3740.39855670929,358.696573883295,226.317268371582,271.588035583496,1.20003231542007,11.92334,18.8156,21.7692,1.15697612619316,28.4860000610352,32.1500015258789,-4.03000020980835,49.9374161292315,36.7893604323864
"10","DES998120",3740.39855670929,358.696573883295,226.317268371582,271.588035583496,1.20003231542007,11.92334,18.8156,21.7692,1.15697612619316,28.4860000610352,32.1500015258789,-4.03000020980835,49.9374161292315,36.7893604323864
"11","DES998240",3740.39855670929,358.696573883295,226.317268371582,271.588035583496,1.20003231542007,11.92334,18.8156,21.7692,1.15697612619316,28.4860000610352,32.1500015258789,-4.03000020980835,49.9374161292315,36.7893604323864
"12","DES998360",3842.11531734467,368.631008923054,231.649696350098,277.292640686035,1.19703433699717,11.92334,18.8156,21.7692,1.15697612619316,28.4860000610352,32.1500015258789,-4.03000020980835,49.9374161292315,36.7893604323864
"13","DIA248",2560.06954860687,249.046794652939,186.630142211914,240.742359161377,1.28994360883045,10.79456,17.3007,21.3926,1.23651644153127,25.6656666437785,29.4300003051758,-4.40999984741211,96.9716121385574,74.4321597480774
"14","DIA248120",2560.06954860687,249.046794652939,186.630142211914,240.742359161377,1.28994360883045,10.79456,17.3007,21.3926,1.23651644153127,25.6656666437785,29.4300003051758,-4.40999984741211,96.9716121385574,74.4321597480774
"15","DIA248240",2560.06954860687,249.046794652939,186.630142211914,240.742359161377,1.28994360883045,10.79456,17.3007,21.3926,1.23651644153127,25.6656666437785,29.4300003051758,-4.40999984741211,96.9716121385574,74.4321597480774
"16","DIA248360",2126.07517528534,208.803641289473,157.560056686401,214.264575958252,1.35989146275006,10.79456,17.3007,21.3926,1.23651644153127,25.6656666437785,29.4300003051758,-4.40999984741211,96.9716121385574,74.4321597480774
"17","DIA333",3263.4839849472,317.75053691864,228.41773223877,281.106597900391,1.230668893983,12.17588,19.2661,23.2374,1.20612889998495,27.7203333536784,31.5400009155273,-4.84999990463257,72.8192601479988,51.5035800557136
"18","DIA333120",3263.4839849472,317.75053691864,228.41773223877,281.106597900391,1.230668893983,12.17588,19.2661,23.2374,1.20612889998495,27.7203333536784,31.5400009155273,-4.84999990463257,72.8192601479988,51.5035800557136
"19","DIA333240",3263.4839849472,317.75053691864,228.41773223877,281.106597900391,1.230668893983,12.17588,19.2661,23.2374,1.20612889998495,27.7203333536784,31.5400009155273,-4.84999990463257,72.8192601479988,51.5035800557136
"20","DIA333360",3263.4839849472,317.75053691864,228.41773223877,281.106597900391,1.230668893983,12.17588,19.2661,23.2374,1.20612889998495,27.7203333536784,31.5400009155273,-4.84999990463257,72.8192601479988,51.5035800557136
"21","FC791",3736.10775184631,354.576855733991,232.595008850098,280.069923400879,1.20410977340179,11.74268,18.685,23.0403,1.23309071447685,27.1686666488647,30.8999996185303,-3.96000003814697,68.5274217549205,43.5940203924179
"22","FC791120",3736.10775184631,354.576855733991,232.595008850098,280.069923400879,1.20410977340179,11.74268,18.685,23.0403,1.23309071447685,27.1686666488647,30.8999996185303,-3.96000003814697,68.5274217549205,43.5940203924179
"23","FC791240",3641.62691020966,345.601112157106,229.247905731201,277.739273071289,1.21152370917161,11.74268,18.685,23.0403,1.23309071447685,27.1686666488647,30.8999996185303,-3.96000003814697,68.5274217549205,43.5940203924179
"24","FC791360",3601.22888469696,344.062089085579,231.424877166748,278.258094787598,1.20236898553955,11.74268,18.685,23.0403,1.23309071447685,27.1686666488647,30.8999996185303,-3.96000003814697,68.5274217549205,43.5940203924179
"25","FC795",3578.82793807983,339.311673909426,226.234310150146,272.05305480957,1.20252783332915,11.84158,18.8877,23.3301,1.23520068616083,27.4480000178019,31.1599998474121,-4.07999992370605,67.591685920608,43.0758600387573
"26","FC795120",3578.82793807983,339.311673909426,226.234310150146,272.05305480957,1.20252783332915,11.84158,18.8877,23.3301,1.23520068616083,27.4480000178019,31.1599998474121,-4.07999992370605,67.591685920608,43.0758600387573
"27","FC795240",3578.82793807983,339.311673909426,226.234310150146,272.05305480957,1.20252783332915,11.84158,18.8877,23.3301,1.23520068616083,27.4480000178019,31.1599998474121,-4.07999992370605,67.591685920608,43.0758600387573
"28","FC795360",3578.82793807983,339.311673909426,226.234310150146,272.05305480957,1.20252783332915,11.84158,18.8877,23.3301,1.23520068616083,27.4480000178019,31.1599998474121,-4.07999992370605,67.591685920608,43.0758600387573
"29","NP342",3986.63715076447,381.020485639572,243.037841796875,292.978820800781,1.20548643221431,12.83222,20.1952,23.8959,1.18324651402313,28.5593334197998,32.3899993896484,-3.36999988555908,54.2000443228364,39.6620997819901
"30","NP342120",3986.63715076447,381.020485639572,243.037841796875,292.978820800781,1.20548643221431,12.83222,20.1952,23.8959,1.18324651402313,28.5593334197998,32.3899993896484,-3.36999988555908,54.2000443228364,39.6620997819901
"31","NP342240",3986.63715076447,381.020485639572,243.037841796875,292.978820800781,1.20548643221431,12.83222,20.1952,23.8959,1.18324651402313,28.5593334197998,32.3899993896484,-3.36999988555908,54.2000443228364,39.6620997819901
"32","NP342360",3986.63715076447,381.020485639572,243.037841796875,292.978820800781,1.20548643221431,12.83222,20.1952,23.8959,1.18324651402313,28.5593334197998,32.3899993896484,-3.36999988555908,54.2000443228364,39.6620997819901
"33","NPELECTRICEEL",3830.72138786316,366.814312696457,238.232112884521,288.290374755859,1.21012390506566,12.43954,19.8231,23.0181,1.16117559816578,27.5476666132609,31.6000003814697,-2.59999990463257,64.0984241257191,47.3964007630348
