"","Plot.name","Weight.of.Orig.Flask","Weight.soil.wet","Weight.soil...Flask.after.drying","Weight.soil.after.drying","Weight.flask...sand","Weight.beaker","Weight.beaker...silt","Weight.Sand","Weight.Silt","Weight.Clay","SAND","SILT","CLAY","Bulk.density","Depth","Field_cap","Perm_wilt","X330","X15000","X330.1","X15000.1","X330.2","X15000.2","X330.3","X15000.3","awc","awc1","awc2","awc3","awc4","awc5","X330.4","awc6","x330.5","awc7","x330.6","awc8","x330.7","awc9","x330.8","awc10","x330.9","awc11","x330.10","mean_fc"
"11","DES998240",202.25,15.65,216.5,14.25,210.13,350.03,355.64,7.88,5.61,0.76,55.3,39.4,5.3,1.414432992,15,34.54013241,23.03515643,0.167,0.056,0.13,0.056,0.204,0.021,0.199,0.058,0.1150497598,0.111,0.074,0.183,0.141,0.288846371260419,0.453451917613355,0.308799672613423,0.494059928898194,0.232873869167061,0.294657081703498,0.282078780870285,0.440161307367128,0.205867081853324,0.399152562033694,0.324737540589517,0.692411436552548,0.274492713552631,0.385976646211951,0.350897352761852
"12","DES998360",173.97,15.39,188.15,14.18,181.41,173.03,178.77,7.44,5.74,1,52.5,40.5,7.1,1.414432992,15,43.66682086,17.28558635,0.182,0.069,0.143,0.068,0.219,0.029,0.209,0.072,0.2638123451,0.113,0.075,0.19,0.137,0.291359860754661,0.46918157608219,0.318390872876062,0.535275537150182,0.242150934516394,0.310153228649469,0.287146705985687,0.475416204037927,0.220860192501366,0.428222476826018,0.324737540589517,0.692411436552548,0.288793505486614,0.41108674243154,0.370431563793625
"13","DIA248",208.32,15.52,223.59,15.27,216.69,178.34,183.37,8.37,5.03,1.87,54.8,32.9,12.2,1.413750038,15,18.57397082,11.4682539,0.224,0.103,0.176,0.101,0.256,0.05,0.222,0.109,0.0710571692,0.121,0.075,0.206,0.113,0.260121153554887,0.47076837878261,0.323995499950282,0.58331343721488,0.236478504798089,0.312679712299458,0.294650705998189,0.519217321012871,0.242405220495989,0.469995804770057,0.324737540589517,0.692411436552548,0.32657289733918,0.484802096780243,0.401017107946606
"14","DIA248120",202.44,16.71,218.77,16.33,210.61,173.76,179.39,8.17,5.63,2.53,50,34.5,15.5,1.413750038,15,31.43448208,11.73714639,0.248,0.123,0.196,0.121,0.274,0.065,0.239,0.132,0.1969733569,0.125,0.075,0.209,0.107,0.268038650631476,0.503557248954214,0.328437771166669,0.644946254613527,0.258022438762985,0.350689546766492,0.29113139670563,0.5626587263804,0.269190037895591,0.521928480904619,0.324737540589517,0.692411436552548,0.347626233948405,0.533730346874195,0.433356549186
"15","DIA248240",204.47,16.17,219.95,15.48,213.55,175.27,179.68,9.08,4.41,1.99,58.7,28.5,12.9,1.413750038,15,42.12739265,10.44734962,0.229,0.107,0.181,0.106,0.26,0.053,0.219,0.114,0.3168004303,0.122,0.075,0.207,0.105,0.243153287354009,0.458966426562515,0.321060809532336,0.570257719151454,0.223349691263832,0.296679987122716,0.297551426833154,0.509640607624889,0.238157797679426,0.461760541103769,0.324737540589517,0.692411436552548,0.330920354916446,0.494251749720452,0.397542587985304
"16","DIA248360",206.22,16.72,222.73,16.51,215.63,171.3,176.79,9.41,5.49,1.61,57,33.3,9.8,1.413750038,15,42.22438994,12.23977879,0.205,0.087,0.161,0.086,0.24,0.04,0.211,0.092,0.2998461115,0.118,0.075,0.2,0.119,0.26030403016292,0.452816731718865,0.317813655596308,0.541120300740542,0.227059435311708,0.294735761956461,0.293154361126597,0.489555258187422,0.225531734514871,0.437280058769434,0.324737540589517,0.692411436552548,0.309251507030802,0.449472650333548,0.379490199841711
"17","DIA333",173.89,15.82,189.33,15.44,182.87,176.84,181.34,8.98,4.5,1.96,58.2,29.1,12.7,1.319744893,15,30.23259927,10.67697413,0.227,0.106,0.179,0.104,0.249,0.049,0.225,0.113,0.1955562514,0.121,0.075,0.2,0.112,0.228267402797446,0.427409390915622,0.306828645033627,0.544817647200847,0.216469426797247,0.2901953436369,0.28288563039849,0.477451815441267,0.2065886383241,0.400551576928981,0.324737540589517,0.692411436552548,0.294020560820104,0.449365758270556,0.378382088086066
"18","DIA333120",200.28,17.34,217.19,16.91,210.26,173.96,178.72,9.98,4.76,2.17,59,28.1,12.8,1.319744893,15,18.2234364,10.64750549,0.228,0.106,0.18,0.105,0.25,0.049,0.224,0.113,0.0757593091,0.122,0.075,0.201,0.111,0.225233897604802,0.424998559280752,0.306164104166855,0.541876770460666,0.213975242066832,0.28703842082418,0.283288415426919,0.475151730643242,0.205635626155656,0.398703796092632,0.324737540589517,0.692411436552548,0.294917109894117,0.451279413461944,0.377587284301451
"19","DIA333240",209.15,15.78,224.56,15.41,217.96,173.03,177.7,8.81,4.67,1.93,57.2,30.3,12.5,1.319744893,15,30.31602596,10.88108134,0.226,0.105,0.178,0.103,0.248,0.048,0.225,0.111,0.1943494462,0.121,0.075,0.2,0.114,0.232315876763164,0.430011730424609,0.307547654569234,0.547718915940481,0.219588352628403,0.293995085565494,0.282276117463638,0.479713554973911,0.207441138783145,0.402204477136723,0.324737540589517,0.692411436552548,0.293137626106873,0.447490717711804,0.379140538027779
"20","DIA333360",205.81,16,221.46,15.65,214.38,173.03,177.74,8.57,4.71,2.37,54.8,30.1,15.1,1.319744893,15,30.95551829,11.00638337,0.245,0.121,0.194,0.119,0.262,0.059,0.237,0.129,0.1994913492,0.124,0.075,0.203,0.108,0.233183705158663,0.450025103553009,0.311335779955549,0.588863232232334,0.229006964365648,0.312938808386278,0.282673343072122,0.506603327085402,0.22332864958303,0.433008530815544,0.324737540589517,0.692411436552548,0.3080197756624,0.48052205093515,0.400215680869115
"21","FC791",523.43,49.46,571.11,47.68,546.07,527.05,544.71,22.64,17.66,7.38,47.5,37,15.5,1.31583334,15,31.58197658,12.13084388,0.248,0.123,0.196,0.121,0.264,0.06,0.248,0.132,0.194511327,0.125,0.075,0.204,0.116,0.257491450245638,0.475377864085443,0.313741168002141,0.626546627828423,0.253596601265469,0.347713342582547,0.275604709258521,0.533792272326389,0.236511210084968,0.458567997395354,0.324737540589517,0.692411436552548,0.308467393760483,0.483248588687136,0.415787102677986
"22","FC791120",172.24,16.85,188.11,15.87,178.79,173.76,179.88,6.55,6.12,3.2,41.3,38.6,20.2,1.31583334,15,44.93729431,13.57703731,0.28,0.151,0.223,0.148,0.284,0.08,0.271,0.162,0.31360257,0.129,0.075,0.204,0.109,0.268297317095455,0.519082809471984,0.309023075977002,0.695645081700162,0.281355194197113,0.399886321580845,0.265014482989385,0.583061114334236,0.268302982398305,0.520208582457425,0.324737540589517,0.692411436552548,0.330079251116113,0.540331449497151,0.455329708690396
"23","FC791240",178.95,15.72,194.26,15.31,186.31,174.18,180.06,7.36,5.88,2.07,48.1,38.4,13.5,1.31583334,15,31.11847671,12.19021442,0.233,0.111,0.184,0.109,0.253,0.052,0.24,0.118,0.1892826229,0.122,0.075,0.201,0.122,0.261354788415042,0.465591743451889,0.313795134210535,0.604099582233428,0.249871241539835,0.337772958281128,0.276217566458312,0.517709038561792,0.226531918914527,0.439219301129285,0.324737540589517,0.692411436552548,0.297090801004299,0.457409474163336,0.402201230397582
"24","FC791360",172.24,16.89,188.74,16.5,180.97,179.11,184.77,8.73,5.66,2.11,52.9,34.3,12.8,1.31583334,15,30.72182521,11.512716,0.228,0.106,0.18,0.105,0.249,0.049,0.232,0.113,0.1920910921,0.122,0.075,0.2,0.119,0.245952350594385,0.445401051817655,0.310795189652849,0.572494091989918,0.233383865363409,0.313606876383247,0.279660063089146,0.495989105656806,0.215046787872584,0.41695095477972,0.324737540589517,0.692411436552548,0.293446738726627,0.449533216752025,0.388671521266538
"25","FC795",171.91,15.48,186.78,14.87,179.98,175.3,178.85,8.07,3.55,3.25,54.3,23.9,21.9,1.305882377,15,44.13655227,12.57394562,0.29,0.16,0.233,0.158,0.289,0.086,0.26,0.172,0.3156260665,0.13,0.075,0.203,0.088,0.216271501028147,0.484541700791703,0.306891981714315,0.653360068141717,0.23661163821724,0.34449262430291,0.281514931526253,0.541573358520827,0.249486293885489,0.483725190546175,0.324737540589517,0.692411436552548,0.332731713814914,0.555521508372923,0.438875080657164
"26","FC795120",209.91,18.2,227.64,17.73,219.5,178.34,184.42,9.59,6.08,2.06,54.1,34.3,11.6,1.305882377,15,30.49795093,11.70945923,0.219,0.099,0.172,0.098,0.241,0.044,0.227,0.105,0.187884917,0.12,0.074,0.197,0.122,0.243702318065099,0.433498807503382,0.307200400980967,0.550061731333219,0.228147323610421,0.304280407596663,0.278138836111735,0.479271626559209,0.204501226203357,0.39650432523379,0.324737540589517,0.692411436552548,0.282438255688281,0.429874793703086,0.376809375316536
"27","FC795240",208.32,16.79,224.05,15.73,216.58,176.03,181.87,8.26,5.84,1.63,52.5,37.1,10.4,1.305882377,15,30.56126173,12.69906457,0.209,0.091,0.165,0.09,0.233,0.039,0.225,0.096,0.1786219716,0.118,0.075,0.194,0.129,0.253805579811817,0.436260249978093,0.307282702605609,0.54530115186144,0.233082678615172,0.308684399563451,0.276206949876804,0.474505136589292,0.201964551854167,0.391586005819103,0.324737540589517,0.692411436552548,0.275569571455192,0.416003848138341,0.372432020772934
"28","FC795360",210.16,15.12,224.27,14.11,219.21,171.67,175.78,9.05,4.11,0.95,64.1,29.1,6.7,1.305882377,15,19.37465909,16.16383646,0.179,0.066,0.14,0.065,0.206,0.025,0.198,0.069,0.0321082263,0.113,0.075,0.181,0.129,0.224820394841339,0.376501680766688,0.279859009273862,0.429898777970461,0.198600177440614,0.254976056691616,0.268457559009979,0.398063374263112,0.165784301206874,0.32143666668786,0.324737540589517,0.692411436552548,0.25228479342207,0.371807416439082,0.324372309942852
"29","NP342360",202.56,15.66,217.52,14.96,211.27,174.18,179.65,8.71,5.47,0.78,58.2,36.6,5.2,1.284130437,15,34.65109238,22.89525034,0.166,0.056,0.13,0.055,0.191,0.019,0.203,0.057,0.1175584204,0.11,0.075,0.172,0.146,0.250014318066765,0.39534614620611,0.283554207860979,0.443413850175995,0.216596311307482,0.278020464358182,0.261520661271115,0.392013752725327,0.163830924971035,0.317649295136606,0.324737540589517,0.692411436552548,0.237171411243428,0.349732955402193,0.323507990959724
"30","NP342",173.36,16.58,189.59,16.23,183.49,174.92,179.33,10.13,4.41,1.69,62.4,27.2,10.4,1.284130437,15,29.67406735,10.95246019,0.209,0.091,0.165,0.09,0.23,0.039,0.214,0.096,0.1872160716,0.118,0.075,0.191,0.118,0.215086366706979,0.391694786407994,0.291933335851202,0.48406886518331,0.201045876764801,0.265698907363983,0.275470867563896,0.433683393807603,0.179006854199911,0.34707367410198,0.324737540589517,0.692411436552548,0.268201408507482,0.408023602268573,0.349150424153272
"31","NP342120",201.56,15.62,216.66,15.1,209.17,175.27,180.48,7.61,5.21,2.28,50.4,34.5,15.1,1.284130437,15,31.32133654,11.66814197,0.245,0.121,0.194,0.119,0.258,0.057,0.244,0.129,0.1965319457,0.124,0.075,0.201,0.115,0.242300930689456,0.452782311622276,0.307819356746096,0.598976788177791,0.239840412839716,0.32875874957696,0.274763066397793,0.510240971920484,0.218938273804203,0.424496097819297,0.324737540589517,0.692411436552548,0.293872424550704,0.462653562832863,0.401029083500202
"32","NP342240",202.25,15.31,217.12,14.87,209.88,175.01,180.96,7.63,5.95,1.29,51.3,40,8.7,1.284130437,15,30.86982192,14.68639498,0.196,0.08,0.154,0.079,0.219,0.032,0.223,0.084,0.1618342694,0.116,0.075,0.187,0.139,0.260996960348264,0.431151840466232,0.302745411702671,0.526944025514071,0.235355659212802,0.309683137489283,0.270854311254202,0.455594538345863,0.190190014512833,0.368756533985897,0.324737540589517,0.692411436552548,0.258406971765872,0.388909201260233,0.360495519419466
"33","NPELECTRICEEL",200.43,16.35,215.88,15.45,206.5,175.01,181.57,6.07,6.56,2.82,39.3,42.5,18.3,1.305000012,15,44.49088551,13.56080435,0.267,0.14,0.213,0.138,0.275,0.071,0.268,0.15,0.3093008116,0.127,0.075,0.204,0.118,0.278220377341332,0.511996955195405,0.309008317834303,0.685523913828868,0.284124629289077,0.397914793723691,0.2626931854001,0.574021334561981,0.259026139257429,0.502221852019854,0.324737540589517,0.692411436552548,0.317531219531501,0.511120886448842,0.445291924757381
"34","NPELECTRICEEL120",166.93,16.03,182.24,15.31,174.01,177.11,183.03,7.08,5.92,2.31,46.2,38.7,15.1,1.305000012,15,31.54806987,12.34864493,0.245,0.121,0.194,0.119,0.26,0.058,0.249,0.129,0.1919942494,0.124,0.075,0.202,0.12,0.261350239356577,0.474462048380585,0.312408936627711,0.625554675562202,0.256349223133875,0.350843084413793,0.273068261591858,0.531547568251962,0.23314315352602,0.452037723626104,0.324737540589517,0.692411436552548,0.302242275300743,0.473268753241353,0.413465935457141
"35","NPELECTRICEEL240",202.8,15.49,218.02,15.22,209.67,178.9,185.54,6.87,6.64,1.71,45.1,43.6,11.2,1.305000012,15,18.92863197,13.71195687,0.216,0.096,0.17,0.095,0.238,0.043,0.238,0.102,0.052166751,0.12,0.075,0.195,0.136,0.278747356932232,0.467777068975363,0.312932419856806,0.593500991342334,0.257592910833135,0.344123221656015,0.272052710413273,0.504877616612824,0.217887157945549,0.422458105226217,0.324737540589517,0.692411436552548,0.280172938788804,0.425538926964175,0.392062487939043
"36","NPELECTRICEEL360",207.91,16.01,223.48,15.57,215.53,173.96,179.97,7.62,6.01,1.94,48.9,38.6,12.5,1.305000012,15,30.90577218,12.29855237,0.226,0.105,0.178,0.103,0.246,0.048,0.237,0.111,0.1860721981,0.121,0.075,0.198,0.126,0.259594139462031,0.455854961793644,0.311444141949018,0.586678432836862,0.24545194576302,0.329953159272874,0.275340252256962,0.503639043618252,0.217091520984933,0.420915456792968,0.324737540589517,0.692411436552548,0.287677671084648,0.441090601648263,0.392503917501401
"37","RAV339",206.22,17.22,221.54,15.32,214.55,171.67,177.09,8.33,5.42,1.57,54.4,35.4,10.2,1.264540812,15,30.4535593,12.49378896,0.208,0.09,0.163,0.089,0.227,0.037,0.225,0.095,0.1795977034,0.118,0.074,0.19,0.13,0.240107835128344,0.415348166545328,0.298584700928627,0.521178003830834,0.224052453842748,0.297501704822004,0.271483143184966,0.454062680752231,0.185847374662136,0.360336655456553,0.324737540589517,0.692411436552548,0.260733727271028,0.39916496758422,0.36027305595852
"38","RAV339120",336.95,NA,362.63,25.68,354.92,351.61,357.88,17.97,6.27,1.44,70,24.4,5.6,1.264540812,15,32.37224579,18.67679921,0.17,0.058,0.132,0.058,0.192,0.02,0.19,0.06,0.1369544658,0.112,0.074,0.172,0.13,0.20109387378753,0.335133664463091,0.253852512063879,0.366809165925175,0.182028194542268,0.231842656294818,0.25457227391838,0.355015527246278,0.141694072974874,0.274728488613863,0.215357824794416,0.249807499449773,0.234806122830919,0.350051210310094,0.258853473845736
"39","RAV339240",202.44,16.14,216.42,13.98,211.94,172.31,175.76,9.5,3.45,1.03,68,24.7,7.4,1.264540812,15,41.98805918,13.57017163,0.185,0.071,0.145,0.07,0.207,0.027,0.198,0.074,0.2841788755,0.114,0.075,0.18,0.124,0.202579739163181,0.352004223767964,0.268039620947149,0.405288877158647,0.185716136190057,0.239932630803333,0.263355901434184,0.381712178084498,0.152354618189942,0.295398058012539,0.215357824794416,0.249807499449773,0.245178188670446,0.369158854509535,0.275300211071481
"40","RAV339360",209.02,15.46,222.3,13.28,219.88,175.01,176.82,10.86,1.81,0.61,81.8,13.6,4.6,1.264540812,15,32.6338306,21.9092382,0.161,0.051,0.125,0.051,0.184,0.017,0.171,0.052,0.107245924,0.11,0.074,0.167,0.119,0.165076463493807,0.278907654079454,0.206376688998367,0.269498546930671,0.152383846537406,0.190115085815194,0.236199945118292,0.303150650945877,0.118550810379853,0.229856367848082,0.215357824794416,0.249807499449773,0.228781053840634,0.339230093578858,0.227415081695264
"41","RAV358",204.3,16.04,219.79,15.49,213.24,179.11,183.83,8.94,4.72,1.83,57.7,30.5,11.8,1.305000012,15,30.20414693,11.01725094,0.22,0.1,0.174,0.099,0.242,0.045,0.223,0.106,0.1918689599,0.12,0.075,0.197,0.117,0.230160899022208,0.420600075559437,0.30380999146315,0.532884705035624,0.216665046568296,0.289040133360522,0.279699400909008,0.467804587392041,0.198940825601657,0.385723348857569,0.324737540589517,0.692411436552548,0.283055093403869,0.431441002577975,0.370809571757792
"42","RAV358120",407.65,30.74,437.32,29.67,428.59,347.7,353.55,20.94,5.85,2.88,70.6,19.7,9.7,1.305000012,15,28.40653525,10.18842961,0.204,0.086,0.16,0.085,0.228,0.037,0.2,0.091,0.1821810564,0.118,0.075,0.191,0.109,0.194052719664494,0.365051878663376,0.277947007037402,0.430062403522589,0.178258011116687,0.232888390402874,0.274639907463706,0.403258990581712,0.167615601523691,0.324987347091595,0.215357824794416,0.249807499449773,0.27053246196109,0.406362280793338,0.291310799136842
"43","RAV358240",407.65,30.74,437.32,29.67,428.59,347.7,353.55,20.94,5.85,2.88,70.6,19.7,9.7,1.305000012,15,28.40653525,10.18842961,0.204,0.086,0.16,0.085,0.228,0.037,0.2,0.091,0.1821810564,0.118,0.075,0.191,0.109,0.194052719664494,0.365051878663376,0.277947007037402,0.430062403522589,0.178258011116687,0.232888390402874,0.274639907463706,0.403258990581712,0.167615601523691,0.324987347091595,0.215357824794416,0.249807499449773,0.27053246196109,0.406362280793338,0.291310799136842
"44","RAV358360",188.35,16.47,204.13,15.78,196.58,174.13,179.39,8.23,5.26,2.29,52.2,33.3,14.5,1.305000012,15,31.06940149,11.39777641,0.241,0.117,0.19,0.115,0.257,0.056,0.239,0.125,0.1967162508,0.124,0.075,0.201,0.114,0.241358082955254,0.451020433220136,0.310281544177169,0.590701579199447,0.235637963184835,0.320927588776081,0.278578942783813,0.507003752422114,0.220229334958815,0.426999316706776,0.324737540589517,0.692411436552548,0.299214415931628,0.466324396255864,0.39839895483027
"45","ROB926",407.86,34.01,441.26,33.4,422.09,351.44,367.36,14.23,15.92,3.25,42.6,47.7,9.7,1.19973683,15,30.83329305,15.35791579,0.204,0.086,0.16,0.085,0.214,0.034,0.242,0.091,0.1547537726,0.118,0.075,0.18,0.151,0.273490900501084,0.442267675074289,0.296461668018707,0.559589195210876,0.25509601268047,0.342423477698847,0.258694148730082,0.466173974588386,0.183804698005075,0.356376140673266,0.324737540589517,0.692411436552548,0.239528453427855,0.376502992659199,0.368704081132492
"46","ROB926120",407.86,34.01,441.26,33.4,422.09,351.44,367.36,14.23,15.92,3.25,42.6,47.7,9.7,1.19973683,15,30.83329305,15.35791579,0.204,0.086,0.16,0.085,0.214,0.034,0.242,0.091,0.1547537726,0.118,0.075,0.18,0.151,0.273490900501084,0.442267675074289,0.296461668018707,0.559589195210876,0.25509601268047,0.342423477698847,0.258694148730082,0.466173974588386,0.183804698005075,0.356376140673266,0.324737540589517,0.692411436552548,0.239528453427855,0.376502992659199,0.368704081132492
"47","ROB926360",407.86,34.01,441.26,33.4,422.09,351.44,367.36,14.23,15.92,3.25,42.6,47.7,9.7,1.19973683,15,30.83329305,15.35791579,0.204,0.086,0.16,0.085,0.214,0.034,0.242,0.091,0.1547537726,0.118,0.075,0.18,0.151,0.273490900501084,0.442267675074289,0.296461668018707,0.559589195210876,0.25509601268047,0.342423477698847,0.258694148730082,0.466173974588386,0.183804698005075,0.356376140673266,0.324737540589517,0.692411436552548,0.239528453427855,0.376502992659199,0.368704081132492
"48","ROB926240",200.16,15.16,214.85,14.69,206.47,172.31,177.96,6.31,5.65,2.73,43,38.5,18.6,1.19973683,15,44.47066026,13.02837409,0.269,0.141,0.214,0.139,0.261,0.067,0.27,0.152,0.3144228617,0.128,0.075,0.194,0.118,0.24454743918347,0.464599171592049,0.292847533225313,0.634479589061118,0.25720939449,0.363364044639409,0.258572582148371,0.527741119902644,0.21656851282297,0.419901404201692,0.324737540589517,0.692411436552548,0.279212026804384,0.4654464868893,0.416540295712615
"49","ROB938",581.02,51.92,630.14,49.12,597.05,699.23,722.83,16.03,23.6,9.49,32.6,48,19.3,1.313235318,15,20.92586184,14.96155891,0.274,0.145,0.218,0.143,0.28,0.076,0.279,0.156,0.0596430293,0.129,0.075,0.204,0.123,0.302552878162159,0.542723727261755,0.304367383922008,0.726683847194772,0.311318319470642,0.439114250547156,0.252339708662147,0.60214780116514,0.278336745679808,0.539662893873299,0.324737540589517,0.692411436552548,0.326363696061293,0.531035968728497,0.465889084120288
"50","ROB938120",204.3,21.16,224.8,20.5,210.43,350.01,361.11,6.13,11.1,3.27,29.9,54.1,16,1.313235318,15,31.7387184,15.33790184,0.251,0.126,0.199,0.124,0.266,0.062,0.272,0.135,0.1640081656,0.125,0.075,0.204,0.137,0.321300472729064,0.538769047810851,0.307659834444208,0.714686634821852,0.3163436471027,0.436934937621858,0.253179489510274,0.587241002293725,0.268334758602795,0.520270192858271,0.324737540589517,0.692411436552548,0.310299566326549,0.488830160772072,0.451558492066471
"51","ROB938240",202.75,15.58,217.06,14.31,208.06,174.82,180.19,5.31,5.37,3.63,37.1,37.5,25.4,1.313235318,15,34.37156767,15.57053063,0.311,0.178,0.251,0.176,0.3,0.102,0.293,0.193,0.1880103704,0.133,0.075,0.198,0.1,0.272496327116581,0.56451675558778,0.296801975416006,0.750366260769259,0.304586867344369,0.452974723533348,0.252143260993283,0.621989112898758,0.297676551828671,0.577160550633466,0.324737540589517,0.692411436552548,0.346982838003071,0.605965081195019,0.492762174651834
"52","ROB938360",173.97,15.18,188.28,14.31,178.56,174.4,181.53,4.59,7.13,2.59,32.1,49.8,18.1,1.313235318,15,32.47326674,14.87033523,0.266,0.139,0.212,0.136,0.275,0.071,0.276,0.149,0.1760293151,0.127,0.076,0.204,0.127,0.307410434239344,0.538889857195922,0.306048511023596,0.720077005465412,0.311337641519842,0.435494714665354,0.253259668612597,0.595874370274788,0.273863880191925,0.530990522831516,0.324737540589517,0.692411436552548,0.320541180193341,0.514858945409661,0.459781532035927
