"","Plot.name","Weight.of.Orig.Flask","Weight.soil.wet","Weight.soil...Flask.after.drying","Weight.soil.after.drying","Weight.flask...sand","Weight.beaker","Weight.beaker...silt","Weight.Sand","Weight.Silt","Weight.Clay","SAND","SILT","CLAY","Bulk.density","Depth","Field_cap","Perm_wilt","X330","X15000","X330.1","X15000.1","X330.2","X15000.2","X330.3","X15000.3","awc","awc1","awc2","awc3","awc4","awc5","X330.4","awc6","x330.5","awc7","x330.6","awc8","x330.7","awc9","x330.8","awc10","x330.9","awc11","x330.10","mean_fc"
"1","DES1014",209.84,16.04,222.96,13.12,216.51,174.92,180.11,6.67,5.19,1.26,50.8,39.6,9.6,1.361473658,15,30.69910219,13.72475305,0.203,0.086,0.159,0.085,0.234,0.038,0.222,0.09,0.1697434914,0.117,0.074,0.196,0.132,0.274730749301814,0.460679136101099,0.316638544564707,0.56124075315886,0.243538091050079,0.319112357884549,0.282145501472741,0.491088817797666,0.218988665667406,0.424593801838425,0.324737540589517,0.692411436552548,0.288655970432938,0.424966366133558,0.381099333587882
"2","DES1014120",209.02,15.58,222.18,13.16,215.75,174.13,178.86,6.73,4.73,1.7,51.1,35.9,12.9,1.361473658,15,18.9299645,11.89830429,0.229,0.107,0.181,0.106,0.255,0.051,0.232,0.114,0.0703166021,0.122,0.075,0.204,0.118,0.26113864921027,0.468576279134695,0.319273438867282,0.596223905934424,0.24427137733533,0.326999583359456,0.284506518300552,0.518930067742149,0.234223619766906,0.454132623230054,0.324737540589517,0.692411436552548,0.310527406806688,0.469465494062274,0.402158126365055
"3","DES1014240",163.92,15.12,176.62,12.7,171.41,172.92,176.88,7.49,3.96,1.25,59,31.2,9.8,1.361473658,15,30.12014606,11.98711766,0.205,0.087,0.161,0.086,0.235,0.039,0.212,0.092,0.181330284,0.118,0.075,0.196,0.12,0.242252736740872,0.426141583859844,0.307164260345625,0.515865397541799,0.216197142569658,0.282289712496551,0.28530287262538,0.464226110973984,0.204649655618638,0.396792112775427,0.324737540589517,0.692411436552548,0.290278236458307,0.428107634013451,0.365348544383055
"4","DES1014360",209.91,16.23,223.36,13.45,218.03,176.4,180.42,8.12,4.02,1.31,60.4,29.9,9.7,1.357659543,15,29.99379439,11.82897497,0.204,0.086,0.16,0.085,0.234,0.038,0.21,0.091,0.1816481942,0.118,0.075,0.196,0.119,0.236746531729561,0.418769294254852,0.304285405800301,0.50518554308693,0.211407478442494,0.275778795758152,0.284730041250261,0.457019029688711,0.200401865731435,0.388556137401443,0.324737540589517,0.692411436552548,0.288193420359595,0.425203892942753,0.360993102698672
"5","DES105",203.81,17.1,220.38,16.57,212.73,179.11,184.87,8.92,5.76,1.89,53.8,34.8,11.4,1.358829756,15,30.50502041,11.85478147,0.217,0.098,0.171,0.096,0.245,0.045,0.224,0.103,0.1865023894,0.119,0.075,0.2,0.121,0.255538365741384,0.451876667928937,0.315536895380576,0.564308184288587,0.233761971006382,0.30946915582801,0.285060325857628,0.496302525528018,0.221123360881227,0.428732730005506,0.324737540589517,0.692411436552548,0.29968577334285,0.447666066891404,0.38616061518391
"6","DES105120",202.17,17.95,219.74,17.57,209.74,174.4,182.63,7.57,8.23,1.77,43.1,46.8,10.1,1.358829756,15,30.81788742,14.8597195,0.207,0.089,0.163,0.088,0.237,0.04,0.234,0.094,0.1595816792,0.118,0.075,0.197,0.14,0.303266838695005,0.494761318367981,0.322152640759054,0.609529754809221,0.270229653980716,0.357043430708316,0.276926265526935,0.519384095326814,0.23480574730123,0.455261301475569,0.324737540589517,0.692411436552548,0.291609099685092,0.431508810530047,0.4000818316155
"7","DES105240",200.63,15.57,215.57,14.94,209.48,176.27,179.34,8.85,3.07,3.02,59.2,20.5,20.2,1.358829756,15,19.21376258,11.74812369,0.28,0.151,0.223,0.148,0.289,0.082,0.245,0.162,0.0746563889,0.129,0.075,0.207,0.083,0.212447053128927,0.478928261809153,0.31493606408752,0.635249209615999,0.224514376437289,0.321870155268285,0.293415509959149,0.532508479672182,0.253039208533979,0.490613882860967,0.324737540589517,0.692411436552548,0.346988908320901,0.564086251926382,0.432060697973229
"8","DES105360",206.62,15.1,221.03,14.41,214.67,350.01,354.98,8.05,4.97,1.39,55.9,34.5,9.6,1.358829756,15,30.41062579,12.73517857,0.203,0.086,0.159,0.085,0.233,0.038,0.215,0.09,0.1767544722,0.117,0.074,0.195,0.125,0.254174791640271,0.437616128255171,0.310510538105666,0.530971028048315,0.226139814462447,0.295479003886405,0.283859281266428,0.472706060839569,0.20864050574824,0.404529911551135,0.324737540589517,0.692411436552548,0.288336061336331,0.425130804087323,0.369894943020042
"9","DES998",205.53,15.57,219.14,13.61,212.66,179.11,184.97,7.13,5.86,0.62,52.4,43.1,4.6,1.414432992,15,48.83120625,27.66561656,0.161,0.051,0.125,0.051,0.197,0.019,0.201,0.052,0.2116558969,0.11,0.074,0.178,0.149,0.306636994597761,0.471129567686871,0.312079492160888,0.504551250451892,0.243050633649644,0.307471573806636,0.279386603303019,0.437273319928237,0.208098601967936,0.4034792225321,0.324737540589517,0.692411436552548,0.26840035415516,0.375597970292717,0.352355849204636
"10","DES998120",205.3,16.71,221.01,15.71,214.75,176.4,181.57,9.45,5.17,1.09,60.2,32.9,6.9,1.414432992,15,31.46542123,16.28061255,0.181,0.067,0.141,0.067,0.218,0.028,0.198,0.07,0.1518480868,0.114,0.074,0.19,0.128,0.259539960005933,0.429494050266379,0.30454087453046,0.482749288027604,0.215896026186022,0.274379446099434,0.287195492146871,0.446243795952709,0.20426154735702,0.396039615554518,0.324737540589517,0.692411436552548,0.287210429456778,0.408250320537181,0.351597086635489
