,Input Soil Properties,,,,,,,,"Saxton et al., 1986",,,,,"Campbell and Shiosawa, 1992",,,,,"Rawls and Brakensiek, 1985",,,,,"Williams et al., 1992",,,,,"Williams et al., 1992",,,,,"Oosterveld and Chang, 1980",,,,,"Mayr and Jarvice, 1999",,,,,"Wo¨sten et al., 1999",,,,,,"Varallyay et al., 1982",,,,,,"Vereecken et al., 1989",,,,,,"Wo¨sten et al., 1999",,,,,,"Tomasella and Hodnett, 1998",,,,,,"Rawls et al., 1982",,,,,,"Gupta and Larson, 1979",,,,,,"Rajkai and Varallyay, 1992",,,,,,"Rawls et al., 1983",,,,,
ID,depth,sand,silt,clay,OC,BD,PD,,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,f,hb,λ,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G,qr,qs,a,n,m,G
,cm,%,%,%,%,g cm-3,g cm-3,,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm,cm3 cm-3,cm3 cm-3,cm-1,-,-,cm
21,15,47.5,37,15.5,-1,1.31583334,2.65,,0,0.5035,8.679,0.2044,14.0587,0,0.5035,25.2856,0.182,41.6421,0.0715,0.5035,15.0877,0.3424,22.5302,0,0.5035,12.1869,0.1903,19.9447,-1,-1,-1,-1,-1,0,0.5035,5.4504,0.19,8.922,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4998,0.0036,0.3891,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,15,41.3,38.6,20.2,-1,1.31583334,2.65,,0,0.5035,10.5798,0.1906,17.3106,0,0.5035,31.2171,0.1539,52.5723,0.0831,0.5035,18.5823,0.3186,28.084,0,0.5035,11.0449,0.1588,18.5256,-1,-1,-1,-1,-1,0,0.5035,10.5855,0.19,17.3278,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5032,0.002,0.3891,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,15,48.1,38.4,13.5,-1,1.31583334,2.65,,0,0.5035,9.5673,0.2159,15.3743,0,0.5035,23.9031,0.192,39.0714,0.0652,0.5035,15.2068,0.3527,22.596,0,0.5035,12.2324,0.1998,19.8801,-1,-1,-1,-1,-1,0,0.5035,4.344,0.19,7.1108,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4986,0.0047,0.3891,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,15,52.9,34.3,12.8,-1,1.31583334,2.65,,0,0.5035,7.0774,0.2105,11.4158,0,0.5035,21.7513,0.2051,35.2165,0.0645,0.5035,12.8416,0.3572,19.0406,0,0.5035,13.1142,0.2174,21.0518,-1,-1,-1,-1,-1,0,0.5035,3.3034,0.19,5.4075,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.4982,0.0051,0.3891,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,15,54.3,23.9,21.9,-1,1.305882377,2.65,,0,0.5072,3.0696,0.1549,5.1651,0,0.5072,25.4868,0.1662,42.4938,0.0918,0.5072,9.933,0.3042,15.1268,0,0.5072,13.5755,0.1922,22.1853,-1,-1,-1,-1,-1,0,0.5072,7.2195,0.19,11.8179,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5103,0.0017,0.3858,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,15,54.1,34.3,11.60,-1,1.305882377,2.65,,0,0.5072,6.9344,0.2164,11.1393,0,0.5072,20.2589,0.2142,32.5924,0.0606,0.5072,12.4459,0.363,18.4038,0,0.5072,13.016,0.2275,20.752,-1,-1,-1,-1,-1,0,0.5072,2.5353,0.19,4.1501,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5032,0.0063,0.3858,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,15,52.5,37.1,10.40,-1,1.305882377,2.65,,0,0.5072,8.7341,0.2284,13.9172,0,0.5072,20.229,0.2172,32.477,0.0559,0.5072,13.6014,0.3686,20.0607,0,0.5072,12.6545,0.2286,20.1616,-1,-1,-1,-1,-1,0,0.5072,2.3741,0.19,3.8863,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5027,0.0073,0.3858,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,15,64.1,29.1,6.70,-1,1.305882377,2.65,,0,0.5072,5.4641,0.2382,8.6511,0,0.5072,15.4585,0.2758,23.9181,0.0457,0.5072,10.4112,0.3954,15.1736,0,0.5072,14.3816,0.294,22.0235,-1,-1,-1,-1,-1,0,0.5072,0.84,0.19,1.3751,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5014,0.0118,0.3858,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,15,58.2,36.6,5.20,-1,1.284130437,2.65,,0,0.5154,9.5815,0.2622,14.9443,0,0.5154,15.7466,0.2673,24.4853,0.0375,0.5154,12.9792,0.3956,18.9146,0,0.5154,12.804,0.2882,19.6707,-1,-1,-1,-1,-1,0,0.5154,0.7892,0.19,1.2919,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.5133,0.0156,0.3785,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,15,62.4,27.2,10.40,-1,1.284130437,2.65,,0,0.5154,3.6991,0.2087,5.9738,0,0.5154,16.4822,0.2421,26.0304,0.0586,0.5154,9.206,0.3703,13.5669,0,0.5154,13.9704,0.2642,21.7632,-1,-1,-1,-1,-1,0,0.5154,1.258,0.19,2.0592,-1,-1,-1,-1,-1,0.01,0.392,0.0249,1.1689,0.1445,2.1685,0,0.515,0.0081,0.3785,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
