XCoord,YCoord,COMMENT,PLOT
451712.54425615,4373524.04665021,1,DES1014120
451714.86244902,4373524.66032771,2,DES1014120
451712.43047166,4373529.02879337,3,DES1014120
451718.13123498,4373529.17019631,4,DES1014120
451720.79242541,4373528.62037272,5,DES1014120
451715.58620841,4373520.53701943,6,DES1014120
451720.93205158,4373519.60965582,7,DES1014120
451721.29059992,4373521.88877524,8,DES1014120
451723.30328019,4373523.74018055,9,DES1014120
451723.42426733,4373520.59653589,10,DES1014120
451721.30072586,4373518.25343628,11,DES1014120
451720.22716952,4373514.89248587,21,DES1014120
451718.51822159,4373513.74197232,22,DES1014120
451715.83282929,4373515.33255965,23,DES1014120
451716.17646193,4373514.30961539,77,DES1014120
451717.09458006,4373513.12309649,20,DES1014120
451720.65236525,4373509.95797044,16,DES1014120
451722.32067747,4373509.88289191,15,DES1014120
451723.35106584,4373512.38843145,14,DES1014120
451724.35741582,4373512.32368023,12,DES1014120
451724.50863529,4373512.18857085,13,DES1014120
451717.15679885,4373508.02680914,19,DES1014120
451716.94736172,4373508.54756051,78,DES1014120
451718.50353874,4373509.12093353,18,DES1014120
451719.89548133,4373508.74743366,17,DES1014120
451719.79613124,4373505.87910421,61,DES1014120
451720.84417179,4373507.03932230,60,DES1014120
451721.45411050,4373507.54301716,59,DES1014120
451710.21675780,4373506.86051079,28,DES1014120
451709.02045807,4373505.52946312,63,DES1014120
451707.91285252,4373504.74494103,29,DES1014120
451708.32934598,4373503.46160323,30,DES1014120
451709.48567836,4373502.56206118,64,DES1014120
451708.44831877,4373502.76996424,65,DES1014120
451707.38660165,4373503.24273197,66,DES1014120
451706.20486080,4373504.24117105,31,DES1014120
451701.86142151,4373506.43528266,32,DES1014120
451702.27983357,4373506.43718074,76,DES1014120
451704.77836020,4373509.08378964,36,DES1014120
451701.94236850,4373510.52245395,34,DES1014120
451703.28883584,4373512.16075971,35,DES1014120
451706.50823974,4373515.93803708,37,DES1014120
451708.84929056,4373514.95791135,26,DES1014120
451710.73047092,4373515.91376908,25,DES1014120
451711.32484454,4373517.68232312,24,DES1014120
451716.01059032,4373504.53455851,79,DES1014120
451705.29023333,4373518.72474537,38,DES1014120
451700.55863004,4373514.46212350,42,DES1014120
451696.62141710,4373510.80961043,33,DES1014120
451696.75418924,4373512.42059550,43,DES1014120
451697.27859031,4373516.82614384,41,DES1014120
451693.35721954,4373520.36829890,75,DES1014120
451693.77326001,4373521.58969199,74,DES1014120
451696.82916721,4373520.92407840,40,DES1014120
451699.57771565,4373521.38377752,39,DES1014120
451701.63749465,4373520.64370019,68,DES1014120
451704.81646796,4373521.89451831,54,DES1014120
451701.66096104,4373524.64594514,55,DES1014120
451700.11741911,4373524.05648849,56,DES1014120
451696.84470813,4373524.28687473,71,DES1014120
451697.37302133,4373524.46084645,72,DES1014120
451695.36806525,4373524.89382114,73,DES1014120
451696.00830711,4373526.15385622,44,DES1014120
451702.61206432,4373526.79201911,57,DES1014120
451702.01453809,4373529.46560642,70,DES1014120
451700.66495483,4373529.62604792,58,DES1014120
451699.01453643,4373528.87879838,46,DES1014120
451696.25160119,4373528.96619048,45,DES1014120
451700.33502518,4373531.84496633,47,DES1014120
451707.91243050,4373522.83799858,52,DES1014120
451708.12129976,4373522.72519951,53,DES1014120
451707.16413742,4373523.38113090,51,DES1014120
451708.32218746,4373525.96249470,48,DES1014120
451704.94906955,4373530.56204107,49,DES1014120
451705.41188490,4373531.99172790,81,DES1014120
451706.17243415,4373532.42256043,82,DES1014120
451706.26157869,4373532.42189301,83,DES1014120
451706.33087676,4373532.80318613,84,DES1014120
451709.88336643,4373535.63036928,85,DES1014120
451701.48590587,4373532.43835037,69,DES1014120
451702.31894032,4373521.98552633,67,DES1014120
451708.94719779,4373511.64624349,62,DES1014120
451708.31095512,4373505.59619640,80,DES1014120
451705.53640228,4373521.86950872,86,DES1014120
451611.99631239,4373524.17097100,1,DES1014240
451612.32650186,4373527.28857057,2,DES1014240
451612.92673431,4373526.64844029,3,DES1014240
451615.73865069,4373526.44468245,4,DES1014240
451615.46627778,4373526.61382770,11,DES1014240
451614.82434113,4373537.67573955,14,DES1014240
451619.57673091,4373533.13236350,13,DES1014240
451620.23893290,4373532.15039167,12,DES1014240
451604.63001933,4373540.54313350,19,DES1014240
451605.78960337,4373543.86165836,15,DES1014240
451602.74626253,4373538.65354433,26,DES1014240
451605.12736309,4373538.03483443,17,DES1014240
451604.62757628,4373539.04452295,15,DES1014240
451605.03910577,4373538.62207796,18,DES1014240
451605.75031851,4373535.82536025,24,DES1014240
451606.08420397,4373534.40102064,23,DES1014240
451607.65350025,4373534.43156029,20,DES1014240
451607.41631921,4373530.33910002,21,DES1014240
451608.51468001,4373537.20816063,16,DES1014240
451606.07697667,4373532.26641729,22,DES1014240
451603.00444764,4373529.55205664,28,DES1014240
451599.80420088,4373529.95569681,31,DES1014240
451600.25627657,4373531.23120244,30,DES1014240
451598.26739519,4373535.27938682,27,DES1014240
451596.75894862,4373534.50946436,32,DES1014240
451597.65775462,4373528.66925476,29,DES1014240
451593.05086181,4373524.90825608,40,DES1014240
451596.75686538,4373526.48706896,65,DES1014240
451597.46425940,4373533.89508301,66,DES1014240
451606.45762405,4373522.06008676,49,DES1014240
451606.36088814,4373516.87302493,48,DES1014240
451606.01332312,4373518.01632342,47,DES1014240
451607.32441504,4373515.98448824,68,DES1014240
451605.75573763,4373515.09985563,46,DES1014240
451605.90309014,4373514.17041644,43,DES1014240
451606.31058241,4373514.00166256,42,DES1014240
451607.63250126,4373514.16417436,44,DES1014240
451603.31883470,4373517.25563000,36,DES1014240
451599.74075818,4373513.33771066,33,DES1014240
451599.68796006,4373512.92148365,71,DES1014240
451611.07392155,4373517.90431808,56,DES1014240
451607.10613808,4373515.49635137,45,DES1014240
451609.12418900,4373514.94439956,50,DES1014240
451611.61067312,4373514.29782951,54,DES1014240
451613.03180011,4373511.61304965,52,DES1014240
451612.65471048,4373510.14721117,51,DES1014240
451616.99268376,4373514.75967059,60,DES1014240
451620.64125317,4373518.14515589,59,DES1014240
451616.56261588,4373518.18997031,58,DES1014240
451617.03320064,4373517.04013436,57,DES1014240
451619.18269364,4373518.96850913,6,DES1014240
451620.00017681,4373521.19859067,7,DES1014240
451621.76127641,4373521.00561230,8,DES1014240
451625.14342990,4373523.47075764,62,DES1014240
451624.71325391,4373520.83195617,61,DES1014240
451620.90567834,4373519.98700661,10,DES1014240
451621.18907887,4373521.05163250,9,DES1014240
451615.87013376,4373519.14181831,55,DES1014240
451621.31182640,4373533.24438001,63,DES1014240
451608.13566007,4373542.64975335,64,DES1014240
451617.85441984,4373522.97529365,5,DES1014240
451598.32690377,4373519.84077311,38,DES1014240
451598.31582168,4373520.69830655,39,DES1014240
451599.43259840,4373518.78171579,34,DES1014240
451600.35919187,4373518.30870396,35,DES1014240
451601.69250872,4373518.62163474,37,DES1014240
451613.21690565,4373517.80366772,53,DES1014240
451614.53866539,4373527.62732350,70,DES1014240
451594.14386138,4373518.62437928,67,DES1014240
451608.53544511,4373513.45525992,69,DES1014240
451681.24412871,4373638.33093301,1,DES1014360
451683.75244829,4373640.38107710,2,DES1014360
451688.03424984,4373640.46977738,3,DES1014360
451695.10750023,4373644.89322824,4,DES1014360
451692.97350225,4373643.71328992,41,DES1014360
451688.04665864,4373644.17326501,5,DES1014360
451690.04368269,4373647.40980126,7,DES1014360
451690.32162379,4373647.09068496,8,DES1014360
451685.11466754,4373644.61421143,6,DES1014360
451684.87150316,4373644.99276980,46,DES1014360
451680.34567818,4373643.15544287,9,DES1014360
451680.57174911,4373642.91640220,10,DES1014360
451677.78775505,4373642.97104137,14,DES1014360
451677.68121019,4373644.77382775,13,DES1014360
451678.88182760,4373642.95295425,15,DES1014360
451671.15883741,4373652.01980559,11,DES1014360
451670.88768744,4373651.04548574,12,DES1014360
451675.96075617,4373654.89749805,45,DES1014360
451672.68129490,4373646.30326427,47,DES1014360
451670.21887116,4373646.02928319,17,DES1014360
451667.27542793,4373645.44782006,18,DES1014360
451675.20441773,4373640.96452450,16,DES1014360
451676.22989298,4373637.70578486,24,DES1014360
451676.01177037,4373637.46550864,23,DES1014360
451673.93060967,4373638.93238377,22,DES1014360
451664.90585727,4373642.10750232,19,DES1014360
451665.10635252,4373642.24507073,19,DES1014360
451665.83565783,4373641.38193324,44,DES1014360
451666.34703447,4373638.14179452,21,DES1014360
451669.18872200,4373633.68595769,27,DES1014360
451667.26315553,4373634.21066578,26,DES1014360
451668.57516519,4373631.63648916,25,DES1014360
451668.67669424,4373633.38472316,43,DES1014360
451670.76189715,4373631.19903750,28,DES1014360
451672.26091839,4373631.12063366,31,DES1014360
451671.63746294,4373625.64638718,29,DES1014360
451673.37449554,4373625.98295687,42,DES1014360
451674.76922920,4373627.10502722,30,DES1014360
451680.22720006,4373629.03296951,34,DES1014360
451679.63692638,4373627.80764409,35,DES1014360
451677.44295630,4373632.66394254,32,DES1014360
451679.64895839,4373630.35823094,33,DES1014360
451684.73780084,4373627.43792473,36,DES1014360
451684.62347977,4373627.91285866,36,DES1014360
451685.29873851,4373635.45672663,40,DES1014360
451689.76836302,4373632.64539105,38,DES1014360
451688.97928044,4373629.60567234,37,DES1014360
451691.50223304,4373630.99911291,39,DES1014360
599381.58227382,4421179.72938281,9,DIA248
599381.93903929,4421181.52717698,10,DIA248
599381.69679842,4421183.99299973,8,DIA248
599376.90916077,4421184.94462036,7,DIA248
599382.87577608,4421191.92450420,11,DIA248
599384.02175440,4421186.66601896,13,DIA248
599382.26480029,4421187.10059928,12,DIA248
599395.71321719,4421179.07243695,16,DIA248
599398.08281375,4421177.94930018,15,DIA248
599396.57811589,4421172.32946331,17,DIA248
599388.70714454,4421176.27345633,14,DIA248
599384.34192440,4421164.97604864,18,DIA248
599381.82529859,4421166.37540537,19,DIA248
599382.13297350,4421168.34982313,1,DIA248
599380.68368103,4421166.59980358,2,DIA248
599382.38641328,4421161.34112326,20,DIA248
599379.41789374,4421176.75433362,6,DIA248
599371.70946520,4421172.23149919,5,DIA248
599371.20651776,4421177.77888160,21,DIA248
599378.35415662,4421168.42898417,3,DIA248
599375.61886576,4421171.43634769,4,DIA248
599371.82685356,4421179.26082608,22,DIA248
606304.36320806,4415844.92852542,1,DIA333
606308.13817001,4415849.85309088,3,DIA333
606307.23099613,4415842.94230625,2,DIA333
606311.18472340,4415845.43232625,4,DIA333
606311.36948156,4415844.94607413,5,DIA333
606309.91990559,4415841.27635625,6,DIA333
606308.49202528,4415838.85697503,36,DIA333
606307.17769173,4415837.27271262,35,DIA333
606301.24750316,4415838.45683251,33,DIA333
606305.95022147,4415834.81254121,30,DIA333
606306.93823492,4415832.39737334,29,DIA333
606301.25796066,4415833.19468626,28,DIA333
606297.89261024,4415830.94714536,27,DIA333
606297.87357449,4415830.46652920,25,DIA333
606298.18561421,4415828.56495349,26,DIA333
606297.57100870,4415837.59814660,32,DIA333
606295.38163290,4415835.09502026,38,DIA333
606290.81391831,4415839.24678634,23,DIA333
606285.72424734,4415837.69100995,22,DIA333
606282.39612846,4415841.16965496,21,DIA333
606281.23621451,4415843.92404341,20,DIA333
606283.41047377,4415844.72891060,19,DIA333
606282.10281885,4415847.59856102,18,DIA333
606284.70599211,4415851.93566872,17,DIA333
606290.05123095,4415846.68768661,37,DIA333
606295.44468840,4415846.57475991,16,DIA333
606299.11616399,4415849.28466879,11,DIA333
606296.55505241,4415851.18919927,12,DIA333
606297.89594100,4415853.70622233,13,DIA333
606298.75954127,4415854.35626087,14,DIA333
606299.84668888,4415856.12231799,10,DIA333
606300.59349138,4415852.53617080,8,DIA333
606303.93875917,4415851.42967009,7,DIA333
606306.65031277,4415857.46733730,9,DIA333
606291.09383779,4415843.35941446,24,DIA333
599392.55823176,4421125.46721441,1,DIA248120
599395.20179428,4421115.81306810,7,DIA248120
599393.21307522,4421114.88062025,6,DIA248120
599390.37055607,4421114.49144686,5,DIA248120
599389.10677337,4421118.67437265,4,DIA248120
599385.56111252,4421126.39833451,9,DIA248120
599398.99664155,4421129.07985521,8,DIA248120
599387.71540583,4421142.78059357,2,DIA248120
599385.25367460,4421131.88280387,3,DIA248120
599327.13525438,4421169.29001894,1,DIA248240
599326.87077876,4421171.24637992,16,DIA248240
599324.69934221,4421174.99147301,2,DIA248240
599334.21318050,4421162.52578583,17,DIA248240
599336.42800991,4421158.15991636,5,DIA248240
599330.21719042,4421155.35043466,6,DIA248240
599329.20925022,4421157.86897091,4,DIA248240
599329.10601034,4421158.89373813,3,DIA248240
599326.71601248,4421154.98758713,7,DIA248240
599324.23706301,4421154.10002164,8,DIA248240
599324.73016152,4421148.46934122,18,DIA248240
599315.06779943,4421156.99661007,11,DIA248240
599308.02563843,4421150.85448187,10,DIA248240
599324.64943503,4421154.51252797,9,DIA248240
599319.06076910,4421164.75682691,13,DIA248240
599314.46839675,4421165.20671661,12,DIA248240
599318.28274970,4421167.38039643,14,DIA248240
599320.80292321,4421170.17752892,15,DIA248240
599373.65869648,4421245.56374220,7,DIA248360
599376.55845710,4421244.28846353,6,DIA248360
599381.00610096,4421241.61500107,5,DIA248360
599379.67417251,4421237.50359929,4,DIA248360
599381.99622184,4421236.42321055,3,DIA248360
599383.91799335,4421238.72784110,2,DIA248360
599386.22250205,4421233.55025679,1,DIA248360
599385.67144604,4421226.98124568,17,DIA248360
599386.97863006,4421222.16935447,16,DIA248360
599385.16542623,4421218.22310796,14,DIA248360
599386.56178945,4421221.89651070,15,DIA248360
599382.34997436,4421216.45326101,12,DIA248360
599383.03978454,4421226.15405591,19,DIA248360
599379.04405989,4421219.69097631,13,DIA248360
599373.90803913,4421226.21125891,21,DIA248360
599374.79213081,4421220.92517310,11,DIA248360
599376.04232615,4421227.28748810,18,DIA248360
599368.16905973,4421225.66968619,10,DIA248360
599364.80175451,4421221.26359513,22,DIA248360
599359.53486445,4421221.78311715,23,DIA248360
599368.45901484,4421234.18889014,9,DIA248360
599372.15142831,4421242.06369829,8,DIA248360
599369.37463048,4421245.67410090,20,DIA248360
606338.45395702,4415803.10021689,7,DIA333120
606341.41560867,4415807.17896070,6,DIA333120
606341.16813558,4415810.24601398,5,DIA333120
606336.43955706,4415813.27399887,10,DIA333120
606335.01336377,4415816.50151165,9,DIA333120
606333.01682174,4415816.62815649,11,DIA333120
606335.27908735,4415811.80089811,8,DIA333120
606329.54897476,4415810.88826894,12,DIA333120
606326.08042961,4415813.16198911,13,DIA333120
606326.23228458,4415810.65726233,14,DIA333120
606325.91743548,4415809.66841535,15,DIA333120
606327.78875872,4415803.49495444,29,DIA333120
606326.27018545,4415802.27822056,16,DIA333120
606325.58542238,4415801.39020044,17,DIA333120
606333.12318752,4415798.04356530,18,DIA333120
606335.50892561,4415798.76374738,21,DIA333120
606333.66789433,4415794.27734011,30,DIA333120
606331.71186079,4415792.49907388,19,DIA333120
606333.54786267,4415790.39367637,20,DIA333120
606342.16424527,4415787.70582087,22,DIA333120
606342.49520039,4415790.83045786,23,DIA333120
606346.64779352,4415791.75538955,24,DIA333120
606346.14286148,4415796.56768054,25,DIA333120
606351.05889545,4415796.83711573,26,DIA333120
606345.96768359,4415798.56290800,27,DIA333120
606342.29102863,4415799.49238907,28,DIA333120
606345.05298023,4415802.19232972,2,DIA333120
606356.97910291,4415799.20050554,31,DIA333120
606355.44942537,4415806.46634162,34,DIA333120
606346.32366295,4415813.73096549,4,DIA333120
606346.31618785,4415804.10866296,1,DIA333120
606326.41597170,4415814.81647949,33,DIA333120
606324.77858696,4415810.79705869,32,DIA333120
606259.64499180,4415808.13299123,1,DIA333240
606265.27301837,4415807.77575079,2,DIA333240
606268.22778092,4415811.66446985,3,DIA333240
606269.57233251,4415810.21177739,4,DIA333240
606271.24134750,4415806.91736873,5,DIA333240
606263.89227678,4415803.84259419,8,DIA333240
606265.60921737,4415804.70496363,7,DIA333240
606264.14771254,4415799.74086001,11,DIA333240
606273.38479620,4415801.74667754,6,DIA333240
606270.85629609,4415794.66407739,17,DIA333240
606271.69267567,4415794.94997107,18,DIA333240
606271.32567518,4415795.69849562,19,DIA333240
606269.00718937,4415793.24101575,20,DIA333240
606268.70575160,4415792.18062640,23,DIA333240
606268.44318805,4415790.89277694,24,DIA333240
606263.01659090,4415797.26623395,14,DIA333240
606264.11199461,4415795.75727684,15,DIA333240
606266.07132616,4415797.11690896,16,DIA333240
606258.13745976,4415799.93566300,12,DIA333240
606261.80696515,4415804.19842735,9,DIA333240
606261.75509757,4415802.33688406,10,DIA333240
606260.19551866,4415796.23711890,13,DIA333240
606257.88919394,4415794.76271008,57,DIA333240
606255.94459899,4415792.50684881,30,DIA333240
606256.63484036,4415792.56137395,31,DIA333240
606261.48197321,4415791.59557817,58,DIA333240
606263.95944270,4415786.66919955,26,DIA333240
606262.72907503,4415787.67604180,25,DIA333240
606258.18120998,4415788.71402086,29,DIA333240
606259.22211908,4415786.05556822,27,DIA333240
606256.61261198,4415786.44515944,28,DIA333240
606265.02670908,4415790.37102439,22,DIA333240
606263.34017285,4415793.19480701,21,DIA333240
606251.61892900,4415794.59153309,32,DIA333240
606253.51957544,4415795.31416077,32,DIA333240
606252.99158371,4415791.42035402,33,DIA333240
606251.49270385,4415793.13988924,35,DIA333240
606251.61135020,4415793.48810327,34,DIA333240
606251.78771737,4415787.94717377,36,DIA333240
606246.62703403,4415788.81537350,37,DIA333240
606247.04581489,4415795.20724481,38,DIA333240
