"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","tmean","tmax","vpdmax","ppt_tot","stdP","stdVPD","MAP_anom","MAT_anom","MAP_anom_prop","MAT_anom_prop","fdsi","pdsi"
"1","DES1014",1896,84.7609996795654,33.7837,40.8336,4.43983552756799,37.30865,8.26141701141992,20.94700050354,20.204,246.397000312805,-0.269242891880163,0.0723554297332184,13.7439116659656,0.224492507054531,1.05907470107491,1.02793263852766,-0.158985913077874,0.00901850983221398
"2","DES1014",1897,124.303002357483,33.4669,43.2141,4.82272215234791,38.3405,8.06366706391176,21.7990016937256,21.6278,260.849002838135,1.00965345035958,0.481064552397051,28.1959141912952,0.0267425595463688,1.12119295022167,1.00332746183342,0.174851368815864,-0.323399481407894
"3","DES1014",1898,74.894000530243,36.5439,36.0218,4.31607378758529,36.28285,7.1716670691967,20.8150005340576,19.9891,208.736001491547,-0.682624886260555,-0.333957326993592,-23.9170871552928,-0.865257435168689,0.897198497151275,0.892339733352141,-0.113338846838233,-0.173745566950224
"4","DES1014",1899,122.840001106262,36.2679,35.8052,4.81088270457834,36.03655,7.49516716599464,19.560001373291,18.0396,208.109998345375,0.970107993645468,-0.431515166710699,-24.5430903014643,-0.541757338370747,0.89450778219102,0.932591461064928,0.668496010561998,-0.113520553182024
"5","DES1014",1900,56.7449998855591,29.7366,43.6917,4.03856754473634,36.71415,8.517750484248,20.3520011901855,19.2616,168.301998317242,-1.60953561115776,-0.163122181764236,-64.3510903295976,0.480825979882614,0.723403240834336,1.05982711167953,-0.616847247121443,-2.22201058961873
"6","DES1014",1901,117.521001040935,26.4786,39.8459,4.76661704987679,33.16225,8.00683357318242,21.2950000762939,20.786,245.849000453949,0.822254346584276,-1.57000683824498,13.1959118071095,-0.0300909311829685,1.05671926336272,0.996255914664045,1.24099574191427,-1.7102637229662
"7","DES1014",1902,83.1739988327027,33.4569,39.1512,4.42093478495446,36.30405,7.66250027716159,19.1660003662109,17.4447,151.946999073029,-0.332374087982786,-0.325560143875429,-80.7060895738109,-0.374424227203799,0.65310544535121,0.953412001444032,0.0360690818578144,-2.209300377725
"8","DES1014",1903,109.833998680115,33.7632,37.1705,4.69897012304167,35.46685,7.56175046165784,19.4450016021729,17.8712,168.265998601913,0.59630389103385,-0.657169658334083,-64.3870900449261,-0.475174042707547,0.723248505234058,0.940876134589861,0.630388720721981,-1.74506309369894
"9","DES1014",1904,105.913998365402,34.5558,40.338,4.66262742862529,37.4469,8.38100039462248,20.0540008544922,18.7867,258.943998575211,0.474914069744158,0.127115362095746,26.290909928371,0.344075890257088,1.11300477496897,1.04281188532631,0.137777587913812,-1.62754998271828
"10","DES1014",1905,79.2040014266968,33.5417,36.2653,4.37202682060849,34.9035,7.99716705083847,20.6600017547607,19.7538,202.52199780941,-0.495733716291586,-0.880308955957448,-30.1310908374294,-0.0397574535269234,0.870489186227106,0.995053150803479,0.274850180167873,-1.57103358258476
"11","DES1014",1906,137.497999191284,36.2817,38.286,4.92360936566464,37.28385,8.02400034914415,21.3770008087158,20.9192,334.62800359726,1.34663123892476,0.062532309859145,101.97491495042,-0.0129241552212438,1.43831317926415,0.998391902871027,0.557499651605771,1.70449981877917
