"","Plot","SAND","SILT","CLAY","Field_cap","Perm_wilt","AWC","dens$dens"
"1","DES1014",50.8,39.6,9.6,30.6991021945014,13.7247530501969,16.9743491443045,1.36147365821035
"2","DES1014120",51.1,35.9,12.9,18.9299645033134,11.898304293269,7.03166021004436,1.36147365821035
"3","DES1014240",59,31.2,9.8,30.1201460629254,11.9871176589415,18.1330284039839,1.36147365821035
"4","DES1014360",60.4,29.9,9.7,29.9937943927416,11.8289749732368,18.1648194195048,1.35765954281421
"5","DES105",53.8,34.8,11.4,30.5050204126364,11.8547814666406,18.6502389459959,1.35882975573235
"6","DES105120",43.1,46.8,10.1,30.8178874191399,14.8597194958535,15.9581679232864,1.35882975573235
"7","DES105240",59.2,20.5,20.2,19.2137625758205,11.7481236911292,7.46563888469127,1.35882975573235
"8","DES105360",55.9,34.5,9.6,30.4106257864569,12.7351785713327,17.6754472151241,1.35882975573235
"9","DES998",52.4,43.1,4.6,48.8312062519199,27.6656165585795,21.1655896933404,1.41443299202575
"10","DES998120",60.2,32.9,6.9,31.4654212340229,16.2806125526506,15.1848086813723,1.41443299202575
"11","DES998240",55.3,39.4,5.3,34.540132413822,23.0351564285373,11.5049759852847,1.41443299202575
"12","DES998360",52.5,40.5,7.1,43.6668208635165,17.2855863527834,26.3812345107331,1.41443299202575
"13","DIA248",54.8,32.9,12.2,18.5739708166493,11.4682538979299,7.10571691871941,1.41375003755093
"14","DIA248120",50,34.5,15.5,31.4344820765527,11.7371463935484,19.6973356830044,1.41375003755093
"15","DIA248240",58.7,28.5,12.9,42.1273926471276,10.4473496176855,31.6800430294421,1.41375003755093
"16","DIA248360",57,33.3,9.8,42.224389940624,12.2397787912639,29.9846111493601,1.41375003755093
"17","DIA333",58.2,29.1,12.7,30.2325992720689,10.6769741251184,19.5556251469505,1.31974489287454
"18","DIA333120",59,28.1,12.8,18.2234363976422,10.6475054899364,7.57593090770577,1.31974489287454
"19","DIA333240",57.2,30.3,12.5,30.3160259617016,10.8810813384615,19.4349446232401,1.31974489287454
"20","DIA333360",54.8,30.1,15.1,30.9555182930962,11.0063833674772,19.9491349256191,1.31974489287454
"21","FC791",47.5,37,15.5,31.581976579826,12.1308438777589,19.4511327020671,1.31583334008853
"22","FC791120",41.3,38.6,20.2,44.9372943147246,13.5770373053724,31.3602570093522,1.31583334008853
"23","FC791240",48.1,38.4,13.5,31.1184767089635,12.1902144241164,18.9282622848471,1.31583334008853
"24","FC791360",52.9,34.3,12.8,30.721825210705,11.5127160032491,19.2091092074559,1.31583334008853
"25","FC795",54.3,23.9,21.9,44.1365522723736,12.5739456172456,31.562606655128,1.30588237678303
"26","FC795120",54.1,34.3,11.6,30.4979509317563,11.7094592329657,18.7884916987906,1.30588237678303
"27","FC795240",52.5,37.1,10.4,30.5612617306506,12.6990645732601,17.8621971573905,1.30588237678303
"28","FC795360",64.1,29.1,6.7,19.3746590879437,16.163836461499,3.21082262644461,1.30588237678303
"29","NP342360",58.2,36.6,5.2,34.6510923792175,22.8952503365054,11.7558420427121,1.28413043657075
"30","NP342",62.4,27.2,10.4,29.6740673527838,10.9524601858974,18.7216071668864,1.28413043657075
"31","NP342120",50.4,34.5,15.1,31.3213365414085,11.6681419674656,19.653194573943,1.28413043657075
"32","NP342240",51.3,40,8.7,30.8698219155867,14.6863949770787,16.183426938508,1.28413043657075
"33","NPELECTRICEEL",39.3,42.5,18.3,44.4908855069843,13.5608043532307,30.9300811537536,1.30500001201824
"34","NPELECTRICEEL120",46.2,38.7,15.1,31.5480698713272,12.348644927783,19.1994249435442,1.30500001201824
"35","NPELECTRICEEL240",45.1,43.6,11.2,18.9286319748135,13.7119568667247,5.21667510808872,1.30500001201824
"36","NPELECTRICEEL360",48.9,38.6,12.5,30.9057721765348,12.2985523746421,18.6072198018927,1.30500001201824
"37","RAV339",54.4,35.4,10.2,30.4535593045457,12.4937889632353,17.9597703413104,1.2645408121907
"38","RAV339120",70,24.4,5.6,32.3722457926979,18.6767992142857,13.6954465784122,1.2645408121907
"39","RAV339240",68,24.7,7.4,41.9880591795772,13.5701716303656,28.4178875492116,1.2645408121907
"40","RAV339360",81.8,13.6,4.6,32.6338305997197,21.9092382021898,10.7245923975298,1.2645408121907
"41","RAV358",57.7,30.5,11.8,30.2041469323685,11.0172509432482,19.1868959891203,1.30500001201824
